filename,response
Table_70_Full_time_Law_Enforcement_Employees_by_Region_and_Geographic_Division_by_Rate_2017.xls_17tbl70.csv,"
Header: Region/geographic division, ""Total (10,058 cities; population 193,187,549)"", ""Group I (79 cities, 250,000 and over; population 60,607,956)"", ""Group II (198 cities, 100,000 to 249,999; population 29,257,403)"", ""Group III (431 cities, 50,000 to 99,999; population 30,031,331)"", ""Group IV (775 cities, 25,000 to"
07tbl53.xls_TABLE41k.csv,"
Header: Offense charged, Total all ages, Number of persons arrested, Percent of total all ages
Group Header: Table 53, Arrests, Metropolitan Counties
Metadata: ""[1,311 agencies; 2007 estimated population 47,357,825]""
Note: ""1 Violent crimes are offenses of murder and nonnegligent manslaughter, forcible rape, robbery, and aggravated assault.  Property crimes are offenses of burglary, larceny-theft, motor vehicle theft, and"
07tbl77.xls_77.csv,"
Header: 0
Group Header: None
Metadata: None
Note: None
Derived: None"
Expanded_Homicide_Data_Table_7_Murder_Types_of_Weapons_Used_Percent_Distribution_by_Region_2017.xls_17shrtbl07.csv,"
Header: 0
Group Header: None
Data: 1-5
Metadata: 6
Note: 7
Derived: None"
07tbl51.xls_Sheet1.csv,"
Header: Offense charged, Male, Female, Total, Under 18, Percent change
Group Header: Table 51, Arrest Trends, Metropolitan Counties, ""by Sex, 2006–2007""
Metadata: ""[1,182 agencies; 2007 estimated population 42,738,507; 2006 estimated population 42,558,036]""
Note: 1 Does not include suspicion., ""2 Violent crimes are offenses of murder and nonnegligent manslaughter, forcible rape, robbery, and aggravated"
Table_42_Arrests_by_Sex_2017.xls_17tbl42.csv,"
Header: Offense charged, Number of persons arrested, Percent male, Percent female, Percent distribution1
Group Header: Table 42, Arrests, ""by Sex, 2017""
Metadata: ""[12,606 agencies; 2017 estimated population 253,634,894]""
Note: ""1 Because of rounding, the percentages may not add to 100.0."", ""2 The rape figures in this table are aggregate totals of the data submitted based on both the legacy and revised Uniform Crime"
Table_58_Arrests_Nonmetropolitan_Counties_by_Age_2017.xls_17tbl58.csv,"
Header: Offense charged, Total all ages, Ages under 15, Ages under 18, Ages 18 and over, Under 10, 10-12, 13-14, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25-29, 30-34, 35-39, 40-44, 45-49, 50-54, 55-"
Table_24_Property_Stolen_and_Recovered_2017.xls_17tbl24.csv,"
Header: 0
Group Header: None
Data: 1-10
Metadata: 3
Note: None
Derived: None"
07tbl46.xls_TABLE38k.csv,"
Header: Offense charged, Total all ages, Ages under 15, Ages under 18, Ages 18 and over, Under 10, 10-12, 13-14, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25-29, 30-34, 35-39, 40-44, 45-49, 50-54, 55-"
07tbl09ca.xls_Sheet1.csv,"
Header: 0
Group Header: 2
Metadata: 24
Note: 25
Derived: None"
Table_9_Offenses_Known_to_Law_Enforcement_Kansas_by_University_and_College_2017.xls_17tbl09ks.csv,"
Header: Table 9, KANSAS, Offenses Known to Law Enforcement, University/College, Campus, Student enrollment1, Violent crime, Murder and nonnegligent manslaughter, Rape2, Robbery, Aggravated assault, Property crime, Burglary, Larceny-theft, Motor vehicle theft, Arson
Data: Emporia State University, Garden City Community College, Kansas City Kansas Community College, Kansas State University, University of Kansas: Main Campus,"
Table_5_Crime_in_the_United_States_by_State_2017.xls_17tbl05.csv,"
Header: Crime in the United States, State, Area, Population, Violent crime1, Murder and nonnegligent manslaughter, Rape (revised definition)2, Robbery, Aggravated assault, Property crime, Burglary, Larceny-theft, Motor vehicle theft
Data: ALABAMA, Metropolitan Statistical Area, 3732789.0, 20396.0, 337.0, 1535.0, 3706.0, 14818.0"
Table_62_Arrest_Trends_Suburban_Areas_2017.xls_17tbl62.csv,"
Header: 0
Group Header: None
Metadata: 3
Note: None
Derived: None"
Arson_Table_1_Arson_Rate_by_Population_Group_2017.xls_17arsontbl1.csv,"
Header: Arson Table 1, Arson Rate
Group Header: ""by Population Group, 2017""
Metadata: ""[14,813 agencies; 2017 estimated population 306,107,233; rate per 100,000 inhabitants]""
Data: Population group,Rate; TOTAL ALL AGENCIES,13.2; TOTAL CITIES,14.9; ""Group I (250,000 and over)"",20.9; ""1,000,000 and over (Group I"
Table_8_Offenses_Known_to_Law_Enforcement_by_State_by_City_2017.xls_17tbl08.csv,"
Header: 0
Group Header: None
Metadata: None
Note: None
Derived: None"
Table_23_Offense_Analysis_Number_and_Percent_Change_2016-2017.xls_17tbl23.csv,"
Header: Offense Analysis, Classification
Group Header: Robbery, Robbery by location, Burglary, Burglary by location, Larceny-theft (except motor vehicle theft), Larceny-theft by type, Larceny-theft by value, Motor vehicle theft
Data: Murder, Rape2, Total, Street/highway, Commercial house, Gas or service station, Convenience store, Residence, Bank, Miscellaneous, Total, Res"
07tbl23.xls_Sheet1.csv,"
Header: 0
Group Header: None
Metadata: 3
Note: 8
Derived: None"
07shrtbl13.xls_Sheet1.csv,"
Header: Expanded Homicide Data Table 13, Justifiable Homicide, Year
Group Header: ""by Weapon, Law Enforcement,1 2003–2007""
Metadata: None
Note: 1 The killing of a felon by a law enforcement officer in the line of duty.
Derived: None"
Table_77_Full_time_Law_Enforcement_Employess_by_State_2017.xls_17tbl77.csv,"
Header: 0
Group Header: None
Metadata: None
Note: None
Derived: None"
Table_38_Arrests_by_Age_2017.xls_17tbl38.csv,"
Header: Offense charged, Total percent distribution1, Murder and nonnegligent manslaughter, Rape2, Robbery, Aggravated assault, Burglary, Larceny-theft, Motor vehicle theft, Arson, Violent crime3, Violent crime percent distribution1, Property crime3, Property crime percent distribution1, Other assaults, Forgery and counterfeiting, Fraud, Embezzlement, ""Stolen property; buying, receiving, possessing"", Vandalism, """
