filename,response
2ct5gfw6s3-1.zip_Zr-0.85Nb-0.20Ta_mat11spot3.csv,"
Header: 0, 1
Data: 2-130
Group Header: None
Metadata: None
Note: None
Derived: None"
y34czv2f7c-4.zip_estaillades.txt.csv,"
Header: 0
Group Header: None
Data: 1-30
Metadata: 2
Note: None
Derived: None"
pn8j6xvctt-1.zip_Bi2S3+Te_460C_95bar_CO2_gonio.csv,"
Header: 0, 11,
Data: 12-134,
Group Header: 0, 11,
Metadata: 1-10,
Note: None,
Derived: None."
2csj3h29fr-1.zip_full_table_202004060334-TCNJ6C9A7M6N71CB_GIGMd_Trinity_Assembly.tsv.csv,"
Header: 0
Group Header: None
Metadata: 1, 2
Note: None
Derived: None"
23zm359ppw-1.zip_Frequencias_17STRs_Norte_Portugal_table.txt.csv,"
Header: 0
Group Header: None
Metadata: None
Note: None
Derived: None"
j6c6trjvf3-4.zip_Woodbury_CAPS_smooth.txt.csv,"
Header: 0, Group Header: None, Metadata: 1-7, Note: None, Derived: None"
9cp9hwbh4n-2.zip_TXT_data_EDW_CH1_20110808_60255.163.txt.csv,"
Header: 0, 4
Data: 5-125
Group Header: None
Metadata: 0-3
Note: None
Derived: None"
2hskypf8ch-2.zip_ExpDat_K1-2.txt.csv,"
Header: 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19
Group Header: 20
Metadata: 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20
Note: None
Derived:"
pn2k2bty4r-1.zip_community_matrix_FILLED.csv,"
Header: 0
Group Header: None
Metadata: None
Note: None
Derived: None"
xvt962wptp-4.zip_Document 3 Dinosaur No. 01-31.txt.csv,"
Header: 0
Data: 1-31
Group Header: None
Metadata: None
Note: None
Derived: 32"
mf5ymsjnvj-1.zip_NAS1.txt.csv,"
Header: 0, 1, 4, 5, 8, 9, 12, 13, 16, 17, 20, 21
Data: 22-239
Group Header: None
Metadata: 2, 3, 6, 7, 10, 11, 14, 15, 18, 19
Note: None
Derived: None"
w6pch45myr-1.zip_global_to_local.txt.csv,"
Header: 0
Group Header: None
Metadata: None
Note: None
Derived: None"
vs55cwssyh-2.zip_used_S2_band.txt.csv,"
Header: 0
Data: 1, 2, 3, 4, 5, 6, 7, 8
Group Header: None
Metadata: 9
Note: None
Derived: None"
gvpy69796n-3.zip_Nuova Larderello.csv,"
Header: 0
Data: 1-14
Group Header: 15
Metadata: None
Note: 16
Derived: None"
2tw4wgssdt-1.zip_Table1(Exp2).txt.csv,"
Header: Infoset, No.
Data: 1, 10.0; 2, 9.0
Group Header: None
Metadata: None
Note: None
Derived: Total, 19.0"
v9v6dcgjkw-1.zip_KAxis_18S_FishDiet_otu_table_tax_1000.txt.csv,"
Header: #OTU ID,KX001,KX002,KX003,KX005,KX006,KX007,KX008,KX009,KX010,KX011,KX012,KX013,KX014,KX015,KX017,KX018,KX019,KX020,KX021,KX022,KX023,KX025,KX026,"
ytc5jcwkwp-1.zip_EAC-1.txt.csv,"
Header: 0
Group Header: None
Metadata: None
Note: None
Derived: None"
d2f2bdzkty-3.zip_Research Data_SO2.txt.csv,"
Header: 0, 1, 2
Data: 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47"
vyhs3g7j4j-1.zip_Weizmann normalized.txt.csv,"

Header: ,A100,B100,C100,D100,E100,A3000,B3000,C3000,D3000,E3000
Data: Lactic_acid,-3.502292227,-3.62487606,-2.916753816,-3.386256098,-2.736881057,-4.116774771,-2.519771523,-3.004330394,0."
5nm64pfdfd-1.zip_topological charge density.hvol1.csv,"
Header: 0
Group Header: None
Metadata: None
Note: None
Derived: None"
