filename,response
0c79b9a8-fb2f-4909-9abd-067130a9002f.xlsx_2004.csv,"
Header: 0
Group Header: None
Metadata: None
Note: None
Derived: None"
4eb57a81-63f5-4eff-b549-9dec26630c12.xls_Metadata - Indicators.csv,"
Header: INDICATOR_CODE, INDICATOR_NAME, SOURCE_NOTE, SOURCE_ORGANIZATION
Data: TM.TAX.MRCH.WM.FN.ZS, ""Tariff rate, most favored nation, weighted mean, all products (%)"", Weighted mean most favored nations tariff is the average of most favored nation rates weighted by the product import shares corresponding to each partner country. Data are classified using the Harmonized System of trade at"
01ce7dbc-acc8-4087-ac9a-cecbcd586dc8.xlsx_DOUBLEZIPJULY2000.csv,"
Header: DEPARTMENT/OFFICE, ZIP, 10/1/13
Group Header: None
Metadata: None
Note: None
Derived: None"
1cdc7b6a-8f55-4dd4-bd61-e3fc425b72ab.xls_Metadata - Countries.csv,"

Header: Country Name, Country Code, Region, IncomeGroup, SpecialNotes
Data: Aruba, ABW, Latin America & Caribbean, High income: nonOECD, SNA data for 2000-2011 are updated from official government statistics; 1994-1999 from UN databases. Base year has changed from 1995 to 2000.
Group Header: Sub-Saharan Africa (IFC classification), Central African Republic, East Asia and the Pacific (IFC classification), Central Europe and the Balt"
0c7aaace-1b80-4d5c-a661-6a4924b437c0.xls_Data.csv,"
Header: Data Source, Country Name, Country Code, Indicator Name, Indicator Code, 1960, 1961, 1962, 1963, 1964, 1965, 1966, 1967, 1968, 1969, 1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999,"
frank_ermis__11210__West NatGas Prices 1116.xlsx_IndexCurves.csv,"
Header: 0, 1, 2, 28
Group Header: None
Metadata: None
Note: None
Derived: None"
0c8e2be1-0794-4919-9603-0bb0016f6c32.xls_Sheet1.csv,"
Header: People QuickFacts,Roosevelt County,New Mexico; Private nonfarm establishments, 2010; Total number of firms, 2007; Manufacturers shipments, 2007 ($1000); Merchant wholesaler sales, 2007 ($1000); Retail sales, 2007 ($1000); Retail sales per capita, 2007; Accommodation and food services sales, 2007 ($1000); Building permits, 2011; Geography QuickFacts,Roosevelt County,New Mexico
Data: ""Population, 2012 estimate"","""
0cdf9359-0940-4b79-8a56-e9b330ce5317.xlsx_WF.csv,"
Header: 2012 High-Priority Occupations for Westmoreland-Fayette Workforce Investment Area, SOC Code, SOC Title, Educational Attainment, Annual Average, Entry Level, Exper. Level, Estimated 2008, Projected 2018, Percent Change, Annual Openings
Data: 11-1021, General & Operations Managers, AD+, 101130, 53870, 124750, 1240, 1140, -0.0806, 30, 11-2022,"
02a1db05-14b6-4b6b-a1d4-d0e40f196b9f.xls_TaskGrid-CARPENTRY.csv,"
Header: Unit/Standard Number, Task Grid
Group Header: 100, 200, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200
Metadata: None
Note: None
Derived: None"
1cdc7b6a-8f55-4dd4-bd61-e3fc425b72ab.xls_Data.csv,"
Header: Data Source, Country Name, Country Code, Indicator Name, Indicator Code
Data: 1960, 1961, 1962, 1963, 1964, 1965, 1966, 1967, 1968, 1969, 1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998,"
