filename,response
10s1058.xls_Data.csv,"
Header: Item
Group Header: STATE GOVERNMENT, LOCAL GOVERNMENT \1 \2
Metadata: See notes
Note: ""Source: U.S. Federal Highway Administration, Highway Statistics, annual.""
Derived: None"
10s1167.xls_Data.csv,"
Header: Table 1167. U.S. Holdings of Foreign Stocks and Bonds by Country, Stocks, Bonds, Country, Unit, 2003.0, 2004.0, 2005.0, 2006.0, 2007.0, 2008.0, prel
Group Header: Europe \1, United Kingdom, France, Switzerland, Germany, Netherlands, Spain, Italy, Finland, Belgium and Luxembourg, Canada, Caribbean financial centers \1, Cayman Islands, Bermuda, """
10s1256.xls_Data.csv,"
Header: Industry,2002 NAICS code \1,Total Assets,Sales \2,Employment \3,Employee Compensation,Gross book value \4,Merchandise Exports,Merchandise Imports
Group Header: All industries, Manufacturing \6, Petroleum and coal products, Chemicals, Computers and electronic products, Transportation equipment, Wholesale trade \6, Motor vehicles and motor vehicle parts and supplies, Petroleum and petroleum products, Retail trade, Information,"
10s1125.xls_Data.csv,"
Header: ""Table 1125. Gross Domestic Product in Finance, Insurance, Real Estate, Rental and Leasing in Current and Chained (2000) Dollars"", ""Industry"", ""1997 NAICS code"", ""Unit"", ""2000.0"", ""2005.0"", ""2006.0"", ""2007.0"", ""2008.0"", ""2000.0"", ""2005.0"", ""2006.0"", ""2007.0"", ""2008.0""
Group Header"
10s0001.xls_Data.csv,"
Header: Census date, Resident population, Area (square miles), Number, Per square mile of land area, Total, Land, Water \1, Increase over preceding census, Number, Percent
Group Header: Table 1. Population and Area
Metadata: ""Source: U.S. Census Bureau,"", ""2000 Census of Population and Housing, Population and Housing Counts,"", ""Series PHC-3-1, United States Summary;"", ""Notes and Errata, 2000"
10s1096.xls_Data.csv,"
Header: Item, Total population, Television viewing, Television prime time viewing, Cable viewing \1, Radio listening, Newspaper reading, Accessed Internet \2
Group Header: Total, 18 to 24 years old, 25 to 34 years old, 35 to 44 years old, 45 to 54 years old, 55 to 64 years old, 65 years old and over, Male, Female, White only, Black only, Other races/multiple clasifications, Not high school graduate, High school graduate,"
10s1195.xls_Data.csv,"
Header: Table 1195. Expenditures Per Consumer Unit for Entertainment and Reading, Year and characteristic, Audio, Fees, and visual, Pets, toys, Other entertain-, and visual, hobbies, Other entertain-ment, supplies, and equipment, playground, entertain-ment, supplies, equipment, add check, add check, Total, Average annual expenditure, Percent of total expenditure, Age of reference person, Hispanic or Latino Origin, of reference person, Hispanic, Non-Hispanic, Race of reference"
10s0803.xls_Data.csv,"
Header: Size of farm, Number of farms, Land in farms, Cropland harvested
Group Header: See notes
Metadata: ""Source: U.S. Department of Agriculture, National Agricultural Statistics Service,""
Note: ""2007 Census of Agriculture, Volume 1.""
Derived: None"
10s0813.xls_Data.csv,"
Header: Item
Data: Value of agricultural sector production, Value of crop production, Food grains, Feed crops, Cotton, Oil crops, Tobacco, Fruits and tree nuts, Vegetables, All other crops, Home consumption, Value of livestock production, Meat animals, Dairy products, Poultry and eggs
Group Header: Table 813. Value Added to Economy by Agricultural Sector
Metadata: See notes
Note: None
Derived: Value of inventory adjustment \1"
10s0847.xls_Data.csv,"
Header: Post Office Abbreviation, 2-DIGIT ANSI code, Broilers, Turkeys
Group Header: Table 847. Broiler and Turkey Production by State, STATE
Metadata: ""Source: U.S. Department of Agriculture, National Agricultural Statistics Service,""
Note: See notes
Derived: None"
