filename,response
C10036_C10036.csv,"
Header: Year/Month, 2010/02 Per cent (%), 2010/01 Per cent (%), 2009/02 Per cent (%)
Data: Employees total, -permanent full-time job, -permanent part-time job, -fixed-term full-time job, -fixed-term part-time job, Fixed-term job total, Part-time job total
Group Header: Employment relationship
Metadata: Source: Labour force survey 2010, February. Statistics Finland
"
C10143_C10143.csv,"
Header: ""For-hire trucking, operating statistics""
Data: Operating revenues,""25,162.0"",""27,028.6"",""28,771.3"",""28,094.1"",""29,675.1""
Operating expenses,""23,345.6"",""24,918.5"",""26,905.7"",""26,544.8"",""27,965.6""
Group Header: None
Metadata: ""Source: "
C10075_C10075.csv,"
Header: ""1. Labour costs, Labour Cost Index 2008=100""
Data: Industry code, Standard Industrial Classification, Whole year 2007, 2008/1, 2008/2, 2008/3, 2008/4, Whole year 2008, 2009/1, 2009/2, 2009/3, 2009/4, Whole year 2009
Group Header: B-S, B-E, C, ""10,11"", ""16,17"", 19–22, 24–30"
C10192_C10192.csv,"
Header: ""Census families in private households by family structure and presence of children, by census metropolitan area (2006 Census)"", ""(St. John's, Halifax, Moncton, Saint John)"", ""2006"", ""St. John's (N.L.) (number)"", ""Halifax (N.S.) (number)"", ""Moncton (N.B.) (number)"", ""Saint John (N.B.) (number)""
Data: ""52,525"", """
C10191_C10191.csv,"
Header: New Housing Price Index
Group Header: Canada, House only, Land only
Data: St. John's (N.L.), Charlottetown (P.E.I), Halifax (N.S.), ""Saint John, Moncton, and Fredericton (N.B.)"", Québec (Que.), Montréal (Que.), Ottawa–Gatineau (Ont./Que.), Toronto and Oshawa (Ont.), Hamilton (Ont.), St."
C10096_C10096.csv,"
Header: ""Hard Coal Stocks, month-end, million tonnes""
Data: Month,Year,,,
      ,2006,2007,2008,2009
      January,""5,0"",""4,4"",""3,6"",""4,2""
      February,""4,6"",""4,1"",""3,6"",""4,1""
      March,""4,1"",""4,2"",""3,7"",""4,0""
      April,""3,"
C10013_C10013.csv,"
Header: Rank, State, Total, Exports, Imports
Group Header: ""TABLE 3. Top 3 States for Trade via Port Huron, MI: 2008""
Metadata: Excel | CSV
Note: ""SOURCE: U.S. Department of Transportation, Bureau of Transportation Statistics, Transborder Surface Freight Data, 2008.""
Data: 1, Michigan, ""24,266"", ""3,992"", ""20,274""
2, Illinois, ""8"
C10048_C10048.csv,"
Header: ""Rail transportation, length of track operated for freight and passenger transportation, by province and territory ""
Data: Newfoundland and Labrador,528,312,612,473,312; Nova Scotia,""1,157"",""1,166"",""1,151"",""1,103"",""1,000""; New Brunswick,""1,794"",""1,793"",""1,804"",""1,803"",""2,260""; Quebec,""9,423"",""9,528"",""9,438"","""
C10050_C10050.csv,"
Header: Self-employment, historical summary
Group Header: None
Data: 1981,""1,425.20"",""1,020.60"",404.6, 1982,""1,483.20"",""1,056.70"",426.5, 1983,""1,543.20"",""1,094.50"",448.7, 1984,""1,569.70"",""1,096.40"",473.3, 1985,""1,662."
C10006_C10006.csv,"
Header: 3.7 Part-time employed persons by sex 2010/02 - 2009/02, Year/Month, Sex
Group Header: Both sexes, Males, Females
Data: 373, 357, 368, 132, 127, 118, 241, 230, 250
Metadata: ""Source: Labour force survey 2010, February. Statistics Finland""
Note: ""Inquiries: Heidi Melasniemi-Uutela (09) 1734 2523, Kalle"
