source,target,pollution_level
alejandrofcarrera_DatathonMadrid16_source_datasets_208327.csv,DigitalHistory_dhu235_citizenscience-updated.csv,1.0
alejandrofcarrera_DatathonMadrid16_source_datasets_208327.csv,Herrner_HOS-MetadataTransformations_data_02_transformed_tubdok_20230425_173734_04_mass-edits.json.tsv,1.0
alejandrofcarrera_DatathonMadrid16_source_datasets_208327.csv,mdelucasg_Curso2020-2021_HandsOn_Group25_csv_calidad_agua-updated.csv,1.0
alejandrofcarrera_DatathonMadrid16_source_datasets_208327.csv,IHEC_epimap-metadata-harmonization_IHEC_metadata_harmonization.v0.5-updated.csv,1.0
alejandrofcarrera_DatathonMadrid16_source_datasets_208327.csv,alejandrofcarrera_DatathonMadrid16_clean_clean_211346.csv,0.7
alejandrofcarrera_DatathonMadrid16_source_datasets_208327.csv,ualbertalib_metadata_metadata-wrangling_BIBFRAME_UADATA-BIBFRAME-Segmented_UADATA_names_1_LC.tsv,0.7
alejandrofcarrera_DatathonMadrid16_source_datasets_208327.csv,utdata_thcic-pudf_procedures_IQI_Appendix_A_v2020-updated.csv,0.7
alejandrofcarrera_DatathonMadrid16_source_datasets_208327.csv,Herrner_HOS-MetadataTransformations_data_02_transformed_hcu_20230425_175306_06_join-multi-valued-cells.json.tsv,0.7
alejandrofcarrera_DatathonMadrid16_source_datasets_208327.csv,ualbertalib_metadata_metadata-wrangling_BIBFRAME_2015Imprint_2015_imprint_names_VIAF.tsv,0.7
alejandrofcarrera_DatathonMadrid16_source_datasets_208327.csv,andreybratus_RefineOnSpark_expected_remove-column.csv,0.1
alejandrofcarrera_DatathonMadrid16_source_datasets_208327.csv,andreybratus_RefineOnSpark_expected_column-move.csv,0.1
alejandrofcarrera_DatathonMadrid16_source_datasets_208327.csv,fusepoolP3_p3-batchrefine_engines_outputs_osterie_column-addition-by-fetching-urls.csv,0.1
alejandrofcarrera_DatathonMadrid16_source_datasets_208327.csv,Herrner_HOS-MetadataTransformations_data_02_transformed_ediss_20230425_165946_08_delete-empty-rows.json.tsv,0.1
alejandrofcarrera_DatathonMadrid16_source_datasets_208327.csv,Herrner_HOS-MetadataTransformations_data_02_transformed_hcu_20230425_175306_07_reorder-columns.json.tsv,0.1
alejandrofcarrera_DatathonMadrid16_source_datasets_208327.csv,CEU-Economics-and-Business_interviewing-your-data-2021_projects_2016-seller.csv,0.9
alejandrofcarrera_DatathonMadrid16_source_datasets_208327.csv,FacultadInformatica-LinkedData_Curso2016-2017_Group13_csv_DOITT_SUBWAY_ENTRANCE_01_13SEPT2010.csv,0.9
alejandrofcarrera_DatathonMadrid16_source_datasets_208327.csv,LanLi2017_OR2YWTool_graph_analysis_wf.json,0.9
alejandrofcarrera_DatathonMadrid16_source_datasets_208327.csv,FacultadInformatica-LinkedData_Curso2015-2016_HandsOn_Group01_Parking-meters-updated.csv,0.9
alejandrofcarrera_DatathonMadrid16_source_datasets_208327.csv,LottieDot_Curso2022-2023_HandsOn_Group77_csv_museos-updated-with-links.csv,0.9
alejandrofcarrera_DatathonMadrid16_source_datasets_208327.csv,LanLi2017_OR2YWTool_Menupart-Split_rename.csv,0.3
alejandrofcarrera_DatathonMadrid16_source_datasets_208327.csv,cns-iu_phi_intermediate-files_wos-extract_01-updated.csv,0.3
alejandrofcarrera_DatathonMadrid16_source_datasets_208327.csv,Herrner_HOS-MetadataTransformations_data_02_transformed_tubdok_20230425_173734_02_create-record-id.json.tsv,0.3
alejandrofcarrera_DatathonMadrid16_source_datasets_208327.csv,piehld_IS532-Final-Project_Data_Wrangled_participants.csv,0.3
alejandrofcarrera_DatathonMadrid16_source_datasets_208327.csv,LanLi2017_OR2YWTool_JSONfortest_Split_parallel.json,0.3
alejandrofcarrera_DatathonMadrid16_source_datasets_208327.csv,levidehaan_securitynowbigdataproject_data_dir_SecurityNow453.csv,0.6
alejandrofcarrera_DatathonMadrid16_source_datasets_208327.csv,tamuleifan_CSE6242-Data-Visual-Analytics-Homework-Solutions_hw1_Q4_properties_clean.csv,0.6
alejandrofcarrera_DatathonMadrid16_source_datasets_208327.csv,Research-Squirrel-Engineers_nfdi-wikidata_nfdi-wikidata-updated.csv,0.6
alejandrofcarrera_DatathonMadrid16_source_datasets_208327.csv,LottieDot_Curso2022-2023_HandsOn_Group02_csv_bases_bicimad-updated-with-links.csv,0.6
alejandrofcarrera_DatathonMadrid16_source_datasets_208327.csv,IHEC_epimap-metadata-harmonization_minor-disease-issues-updated.csv,0.6
alejandrofcarrera_DatathonMadrid16_source_datasets_208327.csv,LanLi2017_OR2YWTool_Portal-rodents-19772002-scinameUUIDs-test.csv,0.5
alejandrofcarrera_DatathonMadrid16_source_datasets_208327.csv,fusepoolP3_p3-batchrefine_strutturericettive20141012-updated.csv,0.5
alejandrofcarrera_DatathonMadrid16_source_datasets_208327.csv,mdelucasg_Curso2020-2021_HandsOn_Group15_csv_centros_educativos-updated.csv,0.5
alejandrofcarrera_DatathonMadrid16_source_datasets_208327.csv,Herrner_HOS-MetadataTransformations_data_02_transformed_ediss_20230425_165946_02_create-record-id.json.tsv,0.5
alejandrofcarrera_DatathonMadrid16_source_datasets_208327.csv,idaks_openrefine-reproducibility-src_Demo_all_provenance_files_demo2_part1_Menu-5-updated.csv,0.5
alejandrofcarrera_DatathonMadrid16_source_datasets_208327.csv,fusepoolP3_p3-batchrefine_engines_outputs_high-earners_multivalued-cell-join.csv,0.2
alejandrofcarrera_DatathonMadrid16_source_datasets_208327.csv,fusepoolP3_p3-batchrefine_engines_outputs_high-earners_multivalued-cell-join.csv,0.2
alejandrofcarrera_DatathonMadrid16_source_datasets_208327.csv,GMDSP-Linked-Data_GenericStatsCube_ExampleStatsCube-02_reconcile.csv,0.2
alejandrofcarrera_DatathonMadrid16_source_datasets_208327.csv,fusepoolP3_p3-batchrefine_engines_outputs_high-earners_fill-down.csv,0.2
alejandrofcarrera_DatathonMadrid16_source_datasets_208327.csv,piehld_IS532-Final-Project_Data_Wrangled_locations.csv,0.2
alejandrofcarrera_DatathonMadrid16_source_datasets_208327.csv,IHEC_epimap-metadata-harmonization_donor_health_status-02_updated.csv,0.4
alejandrofcarrera_DatathonMadrid16_source_datasets_208327.csv,mdelucasg_Curso2020-2021_HandsOn_Group27_csv_ArboladoZonasVerdesDistritosCalles_2019-updated.csv.csv,0.4
alejandrofcarrera_DatathonMadrid16_source_datasets_208327.csv,Herrner_HOS-MetadataTransformations_data_02_transformed_haw_20230425_173643_05_enrichment.json.tsv,0.4
alejandrofcarrera_DatathonMadrid16_source_datasets_208327.csv,IHEC_epimap-metadata-harmonization_IHEC-metadata-harmonization-v0-4-updated.csv,0.4
alejandrofcarrera_DatathonMadrid16_source_datasets_208327.csv,IHEC_epimap-metadata-harmonization_openrefine_v1.0_IHEC_metadata_harmonization.v1.0.csv,0.4
alejandrofcarrera_DatathonMadrid16_source_datasets_208327.csv,opencitydata_listas-codigos-skos_comercio_madrid_EpigrafesActividadEconomica.csv,0.8
alejandrofcarrera_DatathonMadrid16_source_datasets_208327.csv,IHEC_epimap-metadata-harmonization_donor_health_status-updated.csv,0.8
alejandrofcarrera_DatathonMadrid16_source_datasets_208327.csv,LanLi2017_OR2YWTool_or2yw_iconf_input_Menu-csv.csv,0.8
alejandrofcarrera_DatathonMadrid16_source_datasets_208327.csv,LanLi2017_OR2YWTool_Menupart-userScript.csv,0.8
alejandrofcarrera_DatathonMadrid16_source_datasets_208327.csv,opencitydata_listas-codigos-skos_urbanismo-infraestructuras_callejero_TipoViasINE-updated.csv,0.8
alejandrofcarrera_DatathonMadrid16_source_datasets_208327.csv,Herrner_HOS-MetadataTransformations_data_02_transformed_tubdok_20230425_173734_03_add-columns.json.tsv,0.0
alejandrofcarrera_DatathonMadrid16_source_datasets_208327.csv,Research-Squirrel-Engineers_nfdi-wikidata_nfdi_wikidata.csv,0.0
alejandrofcarrera_DatathonMadrid16_source_datasets_208327.csv,fusepoolP3_p3-transformer-configs_toscana-hotels_strutturericettive20141012.csv,0.0
