,"Pleasure Bay Beach, South Boston: Bacterial Water Quality 2016",,,,,,,
,,,,,,,,
,Bacteria monitoring is conducted by the Massachusetts Dept. of Conservation and Recreation (DCR) during the swimming season.,,,,,,,
,"Bacteria samples are collected at several locations along the beach, and test results are available 24 hours later.",,,,,,,
,High bacteria triggers a swimming advisory and repeated sampling until bacteria meet limits.,,,,,,,
,,,,,,,,
,"Displayed are Enterococcus bacteria counts, with high counts in red.  The maximum daily limit is 104 counts/100 mL.",,,,,,,
,A swimming advisory is declared by the DCR for the following day if: ,,,,,,,
,      ▪  counts exceed 104 counts/100 mL limit at two or more locations;,,,,,,,
,      ▪  OR if daily rainfall exceeds 2 inches;,,,,,,,
,      ▪  OR if the 5-day running geometric mean exceeds 35 counts/100 mL (geometric mean of the previous 5 days' samples).,,,,,,,
,"Daily rainfall totals from Logan Airport, National Weather Service raingauge",,,,,,,
,All results are in counts/100 mL and testing is performed by DCR.,,,,,,,
,,,,,,,,
,Swimming advisories will be issued due to either high Enterococcus counts or heavy rainfall.,,,,,,,
,"Weekly sampling by DCR began May 26, 2016 and ended September 1, 2016.",,,,,,,
,,,,,,,,
,, Daily Rainfall (in.),,Broadway,,Sullivan's,,South Flag
,,,,,,,,
,2016-05-26 00:00:00,0,,<2,,2,,<2
,2016-06-02 00:00:00,0,,18,,<2,,2
,2016-06-09 00:00:00,0,,4,,7,,<2
,2016-06-16 00:00:00,0,,<2,,<2,,<2
,2016-06-23 00:00:00,0,,2,,4,,6
,2016-06-30 00:00:00,0,,8,,<2,,10
,2016-07-07 00:00:00,0,,64,,2,,48
,2016-07-14 00:00:00,Trace,,2,,6,,4
,2016-07-21 00:00:00,0,,8,,4,,6
,2016-07-28 00:00:00,0,,3,,12,,2
,2016-08-04 00:00:00,0,,<2,,<2,,<2
,2016-08-11 00:00:00,0,,3,,7,,2
,2016-08-18 00:00:00,Trace,,<2,,3,,<2
,2016-08-25 00:00:00,0,,<2,,14,,10
,2016-09-01 00:00:00,0.02,,<2,,108,,<2
