,"Carson Beach, South Boston",,,,,
,Bacteria Counts,,,,,
,,,,,,
,Spreadsheets are updated by Wednesday of each week.,,,,,
,Displayed are Enterococcus counts.  The maximum daily limit is 104 colonies/100 mL,,,,,
,,,,,,
,"Typically, MDC declares a swimming advisory for the following day if at least one site exceeds 104 colonies/100 mL",,,,,
,or the 5-day running geometric mean for all locations combined exceeds 35 colonies/100 mL,,,,,
,,,,,,
,"Daily rainfall totals from Logan Airport, National Weather Service raingauge",,,,,
,All results are in colonies/100 mL,,,,,
,"Questions?  Contact Kelly Coughlin, Environmental Quality Dept. 617-788-4717",,,,,
,,,,,,
,, Rain (in.),,McCormack Bathhouse,, I Street
,,,,,,
,2002-06-06 00:00:00,0.79,,20,,52
,2002-06-20 00:00:00,0,,22,,18
,2002-06-27 00:00:00,1.32,,14,,106
,2002-06-28 00:00:00,0.01,,52,,80
,,,,Daily monitoring began 7/1,,
,2002-07-01 00:00:00,0,,5,,<5
,2002-07-02 00:00:00,0,,<5,,<5
,2002-07-03 00:00:00,0,,<5,,5
,2002-07-04 00:00:00,0,,,Results not available,
,2002-07-05 00:00:00,0,,4,,6
,2002-07-06 00:00:00,0.01,,5,,<5
,2002-07-07 00:00:00,0,,<5,,10
,2002-07-08 00:00:00,0,,<5,,<5
,2002-07-09 00:00:00,0.61,,<5,,<5
,2002-07-10 00:00:00,0.01,,5,,<5
,2002-07-11 00:00:00,0,,10,,4
,2002-07-12 00:00:00,0,,<2,,<2
,2002-07-13 00:00:00,0,,<5,,40
,2002-07-14 00:00:00,0,,<5,,5
,2002-07-15 00:00:00,0.05,,5,,<5
,2002-07-16 00:00:00,0,,100,,180
,2002-07-17 00:00:00,0,,15,,5
,2002-07-18 00:00:00,0,,48,,52
,2002-07-19 00:00:00,0.2,,12,,18
,2002-07-20 00:00:00,0,,5,,<5
,2002-07-21 00:00:00,0,,<5,,<5
,2002-07-22 00:00:00,0,,<5,,<5
,2002-07-23 00:00:00,0.46,,5,,<5
,2002-07-24 00:00:00,0.01,,40,,<5
,2002-07-25 00:00:00,0,,18,,<2
,2002-07-26 00:00:00,0,,2,,14
,2002-07-27 00:00:00,0.07,,<5,,285
,2002-07-28 00:00:00,0.02,,<5,,25
,2002-07-29 00:00:00,0,,50,,45
,2002-07-30 00:00:00,0.01,,15,,<5
,2002-07-31 00:00:00,0,,<5,,<5
,2002-08-01 00:00:00,0,,<2,,<2
,2002-08-02 00:00:00,0.11,,2,,<2
,2002-08-03 00:00:00,0,,<5,,<5
,2002-08-04 00:00:00,0,,5,,<5
,2002-08-05 00:00:00,0,,<5,,15
,2002-08-06 00:00:00,0,,<5,,<5
,2002-08-07 00:00:00,0,,5,,5
,2002-08-08 00:00:00,0,,102,,<2
,2002-08-09 00:00:00,0,,2,,<2
,2002-08-10 00:00:00,0,,780,,25
,2002-08-11 00:00:00,0,,505,,<5
,2002-08-12 00:00:00,0,,20,,<5
,2002-08-13 00:00:00,0,,5,,5
,2002-08-14 00:00:00,0,,<5,,10
,2002-08-15 00:00:00,0,,14,,2
,2002-08-16 00:00:00,0.02,,4,,12
,2002-08-17 00:00:00,0,,<5,,<5
,2002-08-18 00:00:00,0,,5,,<5
,2002-08-19 00:00:00,0,,<5,,<5
,2002-08-20 00:00:00,0.34,,110,,5
,2002-08-21 00:00:00,0,,15,,<5
,2002-08-22 00:00:00,0.47,,2,,2
,2002-08-23 00:00:00,0.02,,4,,14
,,,,Daily monitoring ended 8/23/02,,
,2002-08-29 00:00:00,0.84,,4,,2
,2002-08-30 00:00:00,0.05,,16,,20
,2002-09-05 00:00:00,0,,4,,14
,2002-09-07 00:00:00,0,,12,,22
,2002-09-12 00:00:00,0,,58,,52
,2002-09-19 00:00:00,0,,25,,18
,,,,End of 2002 monitoring season,,
