,Tenean Beach Bacteria Counts,,,,,,,
,,,,,,,,
,"Sampling for the 2001 swimming season concluded September 3.  Sampling will resume in July, 2002.",,,,,,,
,,,,,,,,
,Displayed are Enterococcus counts.  The maximum daily limit is 104 colonies/100 mL,,,,,,,
,Results are in colonies/100 mL,,,,,,,
,,,,,,,,
,"Typically, two of the three sites must exceed 104 for MDC to declare a swimming advisory for the following day",,,,,,,
,or the 5-day running geometric mean for all locations combined exceeds 35 colonies/100 mL,,,,,,,
,,,,,,,,
,"Daily rainfall totals from Logan Airport, National Weather Service raingauge",,,,,,,
,Questions?  Call Kelly Coughlin of MWRA's Environmental Quality Dept at 617-788-4717,,,,,,,
,,,,,,,,
, ,,,,,,,
,, Rain (in.),,North Site,,Middle Site,,South Site
,,,,,,,,
,2001-09-03 00:00:00,0,,<5,,5,,10
,2001-09-02 00:00:00,0,,<5,,<5,,10
,2001-09-01 00:00:00,0.02,,<5,,<5,,<5
,2001-08-31 00:00:00,0,,4,,12,,6
,2001-08-30 00:00:00,0,,52,,20,,74
,2001-08-29 00:00:00,0,,65,,70,,75
,2001-08-28 00:00:00,0.01,,25,,55,,5
,2001-08-27 00:00:00,0.1,,10,,5,,5
,2001-08-26 00:00:00,0,,10,,5,,10
,2001-08-25 00:00:00,0,,35,,45,,35
,2001-08-24 00:00:00,0,,18,,96,,36
,2001-08-23 00:00:00,0,,164,,100,,134
,2001-08-22 00:00:00,0,,10,,<5,,505
,2001-08-21 00:00:00,0,,25,,25,,<5
,2001-08-20 00:00:00,0.3,,220,,390,,2550
,2001-08-19 00:00:00,0.01,,400,,405,,940
,2001-08-18 00:00:00,0,,25,,50,,2560
,2001-08-17 00:00:00,0.17,,40,,68,,58
,2001-08-16 00:00:00,0,,96,,98,,116
,2001-08-15 00:00:00,0,,45,,15,,20
,2001-08-14 00:00:00,0,,160,,100,,90
,2001-08-13 00:00:00,0.36,,280,,180,,165
,2001-08-12 00:00:00,1.12,,4000,,4280,,3760
,2001-08-11 00:00:00,0,,150,,150,,140
,2001-08-10 00:00:00,0.48,,140,,8,,40
,2001-08-09 00:00:00,0,,2,,12,,84
,2001-08-08 00:00:00,0,,10,,10,,5
,2001-08-07 00:00:00,0,,5,,20,,165
,2001-08-06 00:00:00,0,,5,,40,,700
,2001-08-05 00:00:00,0,,15,,5,,10
,2001-08-04 00:00:00,0.04,,205,,180,,370
,2001-08-03 00:00:00,1.57,,14,,14,,6
,2001-08-02 00:00:00,0,,4,,90,,178
,2001-08-01 00:00:00,0,,5,,15,,<5
,2001-07-31 00:00:00,0,,<5,,<5,,<5
,2001-07-30 00:00:00,0,,<5,,<5,,<5
,2001-07-29 00:00:00,0,,<5,,<5,,<5
,2001-07-28 00:00:00,0,,<5,,<5,,<5
,2001-07-27 00:00:00,0,,60,,82,,320
,2001-07-26 00:00:00,0.26,,18,,4,,14
,2001-07-25 00:00:00,0,,90,,<5,,<5
,2001-07-24 00:00:00,0,,40, ,10,,25
,2001-07-23 00:00:00,0,,<5,,10,,<5
,2001-07-22 00:00:00,0,,5,,10,,240
,2001-07-21 00:00:00,0,,20,,5,,50
,2001-07-20 00:00:00,0,,18,,42,,16
,2001-07-19 00:00:00,0,,40,,110,,26
,2001-07-18 00:00:00,0,,20,,5,,45
,2001-07-17 00:00:00,0.3,,40,,15,,15
,2001-07-16 00:00:00,0,,<5,,<5,,<5
,2001-07-15 00:00:00,0,,15,,10,,40
,2001-07-14 00:00:00,0.01,,5,,25,,5
,2001-07-13 00:00:00,0,,12,,30,,10
,2001-07-12 00:00:00,0.02,,8,,10,,8
,2001-07-11 00:00:00,0.01,,50,,50,,85
,2001-07-10 00:00:00,0.21,,10,,10,,15
,2001-07-09 00:00:00,0,,40,,25,,20
,2001-07-08 00:00:00,0.09,,5,,15,,5
,2001-07-07 00:00:00,0,,<5,,35,,10
,2001-07-06 00:00:00,0,,36,,86,,840
,2001-07-05 00:00:00,0.62,,2,,14,,34
,2001-07-04 00:00:00,0.01,,5,,10,,<5
,2001-07-03 00:00:00,0.01,,<5,,15,,<5
,2001-07-02 00:00:00,0,,30,,60,,80
,2001-07-01 00:00:00,0.67,,150,,115,,125
,2001-06-30 00:00:00,0.57,,15,,<5,,<5
,2001-06-29 00:00:00,0,,12,,158,,144
,2001-06-28 00:00:00,0,,44,,118,,66
,2001-06-27 00:00:00,0,,20,,10,,290
,2001-06-26 00:00:00,0,,30,,50,,30
,2001-06-25 00:00:00,0,,30,,10,,40
,2001-06-24 00:00:00,0.04,,30,,40,,10
,2001-06-23 00:00:00,0.42,,20,,50,,20
,2001-06-22 00:00:00,0,,86,,88,,106
,2001-06-21 00:00:00,0,,296,,300,,360
