,"Pleasure Bay Beach, South Boston: Bacterial Water Quality 2017",,,,,,,
,,,,,,,,
,Bacteria monitoring is conducted by the Massachusetts Dept. of Conservation and Recreation (DCR) during the swimming season.,,,,,,,
,"Bacteria samples are collected at several locations along the beach, and test results are available 24 hours later.",,,,,,,
,High bacteria triggers a swimming advisory and repeated sampling until bacteria meet limits.,,,,,,,
,,,,,,,,
,"Displayed are Enterococcus bacteria counts, with high counts in red.  The maximum daily limit is 104 counts/100 mL.",,,,,,,
,A swimming advisory is declared by the DCR for the following day if: ,,,,,,,
,      ▪  counts exceed 104 counts/100 mL limit at two or more locations;,,,,,,,
,      ▪  OR if daily rainfall exceeds 2 inches;,,,,,,,
,      ▪  OR if the 5-day running geometric mean exceeds 35 counts/100 mL (geometric mean of the previous 5 days' samples).,,,,,,,
,"Daily rainfall totals from Logan Airport, National Weather Service raingauge",,,,,,,
,All results are in counts/100 mL and testing is performed by DCR.,,,,,,,
,,,,,,,,
,Swimming advisories will be issued due to either high Enterococcus counts or heavy rainfall.,,,,,,,
,"Weekly sampling by DCR began May 25, 2017.",,,,,,,
,,,,,,,,
,, Daily Rainfall (in.),,Broadway,,Sullivan's,,South Flag
,,,,,,,,
,2017-05-25 00:00:00,0.63,,<2,,<2,,8
,2017-06-01 00:00:00,0.16,,<2,,<2,,<2
,2017-06-08 00:00:00,0,,<2,,2,,6
,2017-06-15 00:00:00,0,,4,,4,,2
,2017-06-22 00:00:00,0,,<2,,2,,<2
,2017-06-29 00:00:00,Trace,,2,,<2,,<2
,2017-07-06 00:00:00,0,,<2,,<2,,<2
,2017-07-13 00:00:00,0.14,,5,,2,,8
,2017-07-20 00:00:00,Trace,,<2,,17,,2
,2017-07-27 00:00:00,0.04,,<2,,4,,6
,2017-08-03 00:00:00,Trace,,<2,,4,,<2
,2017-08-10 00:00:00,0,,10,,2,,<2
,2017-08-17 00:00:00,0,,4,,8,,4
,2017-08-24 00:00:00,0,,3,,5,,<2
,2017-08-31 00:00:00,0,,<2,,2,,<2
