,"Carson Beach, South Boston: Bacterial Water Quality 2017",,,,,
,,,,,,
,Bacteria monitoring is conducted by the Massachusetts Dept. of Conservation and Recreation (DCR) during the swimming season.,,,,,
,"Bacteria samples are collected at several locations along the beach, and  the test results are available 24 hours later.",,,,,
,High bacteria triggers a swimming advisory and repeated sampling until bacteria meet limits.,,,,,
,,,,,,
,"Displayed are Enterococcus bacteria counts, with high counts in red.  The maximum daily limit is 104 counts/100 mL.",,,,,
,,,,,,
,,,,,,
,A swimming advisory is declared by the DCR for the following day if: ,,,,,
,      ▪  counts exceed 104 counts/100 mL limit at EITHER the McCormack Bathhouse or I St locations;,,,,,
,      ▪  OR if the 5-day running geometric mean exceeds 35 counts/100 mL (geometric mean of the previous 5 days' samples).,,,,,
,"Daily rainfall totals from Logan Airport, National Weather Service raingauge",,,,,
,All results are in counts/100 mL and testing is performed by DCR.,,,,,
,,,,,,
,"Weekly sampling by DCR began May 25, 2017.",,,,,
,,,,,,
,, Daily Rain (in.),,McCormack Bathhouse,, I Street
,,,,,,
,2017-05-25 00:00:00,0.63,,10,,35
,2017-06-01 00:00:00,0.16,,15,,2
,2017-06-08 00:00:00,0,,<2,,<2
,2017-06-15 00:00:00,0,,3,,<2
,2017-06-22 00:00:00,0,,<2,,2
,2017-06-29 00:00:00,Trace,,18,,8
,2017-07-06 00:00:00,0,,<2,,<2
,2017-07-13 00:00:00,0.14,,30,,<2
,2017-07-20 00:00:00,Trace,,2,,8
,2017-07-27 00:00:00,0.04,,2,,3
,2017-08-03 00:00:00,Trace,,3,,43
,2017-08-10 00:00:00,0,,28,,<2
,2017-08-17 00:00:00,0,,<2,,5
,2017-08-24 00:00:00,0,,18,,<2
,2017-08-31 00:00:00,0,,8,,4
