,"Pleasure Bay Beach, South Boston: Bacterial Water Quality 2018",,,,,,,
,,,,,,,,
,Bacteria monitoring is conducted by the Massachusetts Dept. of Conservation and Recreation (DCR) during the swimming season.,,,,,,,
,"Bacteria samples are collected at several locations along the beach, and test results are available 24 hours later.",,,,,,,
,High bacteria triggers a swimming advisory and repeated sampling until bacteria meet limits.,,,,,,,
,,,,,,,,
,"Displayed are Enterococcus bacteria counts, with high counts in red.  The maximum daily limit is 104 counts/100 mL.",,,,,,,
,A swimming advisory is declared by the DCR for the following day if: ,,,,,,,
,      ▪  counts exceed 104 counts/100 mL limit at two or more locations;,,,,,,,
,      ▪  OR if daily rainfall exceeds 2 inches;,,,,,,,
,      ▪  OR if the 5-day running geometric mean exceeds 35 counts/100 mL (geometric mean of the previous 5 days' samples).,,,,,,,
,"Daily rainfall totals from Logan Airport, National Weather Service raingauge",,,,,,,
,All results are in counts/100 mL and testing is performed by DCR.,,,,,,,
,,,,,,,,
,Swimming advisories will be issued due to either high Enterococcus counts or heavy rainfall.,,,,,,,
,"Weekly sampling by DCR began May 31, 2018.  Sampling ended September 2, 2018.",,,,,,,
,,,,,,,,
,, Daily Rainfall (in.),,Broadway,,Sullivan's,,South Flag
,,,,,,,,
,2018-05-31 00:00:00,0,,<2,,19,,2
,2018-06-07 00:00:00,0,,<2,,<2,,<2
,2018-06-14 00:00:00,0,,<2,,10,,<2
,2018-06-21 00:00:00,0,,<2,,4,,5
,2018-06-28 00:00:00,1.16,,<2,,22,,<2
,2018-07-05 00:00:00,0,,<2,,<2,,<2
,2018-07-12 00:00:00,0,,2,,2,,<2
,2018-07-19 00:00:00,0,,4,,<2,,10
,2018-07-26 00:00:00,0.6,,<2,,19,,<2
,2018-08-02 00:00:00,Trace,,<2,,2,,<2
,2018-08-09 00:00:00,0.06,,12,,41,,3
,2018-08-16 00:00:00,0,,6,,16,,8
,2018-08-23 00:00:00,Trace,,<2,,4,,<2
,2018-08-30 00:00:00,0,,<2,,<2,,<2
