,Pleasure Bay Bacteria Counts,,,,,,
,,,,,,,
,"Sampling for the 2001 swimming season concluded September 3.  Sampling will resume in July, 2002.",,,,,,
,,,,,,,
,Displayed are Enterococcus counts.  The maximum daily limit is 104 colonies/100 mL,,,,,,
,Results are in colonies/100 mL,,,,,,
,,,,,,,
,A swimming advisory is declared by the MDC for the following day if counts exceed 104 ,,,,,,
,colonies/100 mL or if the 5-day running geometric mean exceeds 35 colonies/100 mL,,,,,,
,,,,,,,
,"Daily rainfall totals from Logan Airport, National Weather Service raingauge",,,,,,
,Questions?  Call Kelly Coughlin of MWRA's Environmental Quality Dept at 617-788-4717,,,,,,
,,,,,,,
, ,,,,,,
,, Rain (in.),,Pleasure Bay Beach,,,5
,,,,,,,6
,2001-09-03 00:00:00,0,,5,,,6
,2001-09-02 00:00:00,0,,<5,,,6
,2001-09-01 00:00:00,0.02,,5,,,6
,2001-08-31 00:00:00,0,,6,,,6
,2001-08-30 00:00:00,0,,2,,,6
,2001-08-29 00:00:00,0,,10,,,6
,2001-08-28 00:00:00,0.01,,10,,,6
,2001-08-27 00:00:00,0.1,,<5,,,7
,2001-08-26 00:00:00,0,,5,,,8
,2001-08-25 00:00:00,0,,<5,,,7
,2001-08-24 00:00:00,0,,40,,,8
,2001-08-23 00:00:00,0,,48,,,9
,2001-08-22 00:00:00,0,,10,,,10
,2001-08-21 00:00:00,0,,155,,,11
,2001-08-20 00:00:00,0.3,,735,,,5
,2001-08-19 00:00:00,0.01,,155,,,5
,2001-08-18 00:00:00,0,,<5,,,5
,2001-08-17 00:00:00,0.17,,10,,,5
,2001-08-16 00:00:00,0,,40,,,5
,2001-08-15 00:00:00,0,,30,,,5
,2001-08-14 00:00:00,0,,30,,,5
,2001-08-13 00:00:00,0.36,,5,,,5
,2001-08-12 00:00:00,1.12,,2150,,,5
,2001-08-11 00:00:00,0,,<5,,,5
,2001-08-10 00:00:00,0.48,,34,,,5
,2001-08-09 00:00:00,0,,24,,,5
,2001-08-08 00:00:00,0,,10,,,5
,2001-08-07 00:00:00,0,,5,,,5
,2001-08-06 00:00:00,0,,<5,,,5
,2001-08-05 00:00:00,0,,<5,,,5
,2001-08-04 00:00:00,0.04,,90,,,5
,2001-08-03 00:00:00,1.57,,8,,,5
,2001-08-02 00:00:00,0,,2,,,5
,2001-08-01 00:00:00,0,,10,,,5
,2001-07-31 00:00:00,0,,<5,,,5
,2001-07-30 00:00:00,0,,<5,,,5
,2001-07-29 00:00:00,0,,<5,,,
,2001-07-28 00:00:00,0,,<5,,,
,2001-07-27 00:00:00,0,,14,,, 
,2001-07-26 00:00:00,0.26,,<2,,,
,2001-07-25 00:00:00,0,,30,,,
,2001-07-24 00:00:00,0,,<5,,, 
,2001-07-23 00:00:00,0,,15,,,
,2001-07-22 00:00:00,0,,140,,,
,2001-07-21 00:00:00,0,,5,,,
,2001-07-20 00:00:00,0,,2,,,
,2001-07-19 00:00:00,0,,4,,,
,2001-07-18 00:00:00,0,,<5,,,
,2001-07-17 00:00:00,0.3,,25,,,
,2001-07-16 00:00:00,0,,<5,,,
,2001-07-15 00:00:00,0,,<5,,,
,2001-07-14 00:00:00,0.01,,<5,,,
,2001-07-13 00:00:00,0,,6,,,
,2001-07-12 00:00:00,0.02,,2,,,
,2001-07-11 00:00:00,0.01,,5,,,
,2001-07-10 00:00:00,0.21,,<5,,,
,2001-07-09 00:00:00,0,,<5,,,
,2001-07-08 00:00:00,0.09,,<5,,,
,2001-07-07 00:00:00,0,,<5,,,
,2001-07-06 00:00:00,0,,<2,,,
,2001-07-05 00:00:00,0.62,,<2,,,
,2001-07-04 00:00:00,0.01,,15,,,
,2001-07-03 00:00:00,0.01,,<5,,,
,2001-07-02 00:00:00,0,,15,,,
,2001-07-01 00:00:00,0.67,,5,,,
,2001-06-30 00:00:00,0.57,,5,,,
,2001-06-29 00:00:00,0,,2,,,
,2001-06-28 00:00:00,0,,<2,,,
,2001-06-27 00:00:00,0,,90,,,
,2001-06-26 00:00:00,0,,<10,,,
,2001-06-25 00:00:00,0,,10,,,
,2001-06-24 00:00:00,0.04,,<10,,,
,2001-06-23 00:00:00,0.42,,40,,,
,2001-06-22 00:00:00,0,,178,,,
,2001-06-21 00:00:00,0,,20,,,
