,"Constitution Beach, East Boston",,,,,,,
,Bacteria Counts,,,,,,,
,,,,,,,,
,Spreadsheets are updated by Wednesday of each week.,,,,,,,
,Displayed are Enterococcus counts.  The maximum daily limit is 104 colonies/100 mL,,,,,,,
,,,,,,,,
,"Typically, two of the three sites must exceed 104 for MDC to declare a swimming advisory for the following",,,,,,,
,day or the 5-day running geometric mean for all locations combined exceeds 35 colonies/100 mL,,,,,,,
,,,,,,,,
,"Daily rainfall totals from Logan Airport, National Weather Service raingauge",,,,,,,
,All results are in colonies/100 mL,,,,,,,
,"Questions?  Contact Kelly Coughlin, Environmental Quality Dept. 617-788-4717",,,,,,,
, ,,,,,,,
,, Rain (in.),,North Site,,Middle Site,,Recreation Ctr.
,,,,,,,,
,,,End of 2002 monitoring season,,,,,
,2002-09-05 00:00:00,0,,16,,20,,36
,2002-08-29 00:00:00,0.84,,110,,26,,2
,,,,Daily monitoring ended 8/22/02,,,,
,2002-08-22 00:00:00,0.47,,12,,16,,14
,2002-08-21 00:00:00,0,,<5,,<5,,5
,2002-08-20 00:00:00,0.34,,10,,10,,<5
,2002-08-19 00:00:00,0,,<5,,<5,,<5
,2002-08-18 00:00:00,0,,5,,<5,,<5
,2002-08-17 00:00:00,0,,<5,,<5,,<5
,2002-08-16 00:00:00,0.02,,2,,2,,<2
,2002-08-15 00:00:00,0,,30,,6,,<2
,2002-08-14 00:00:00,0,,<5,,<5,,25
,2002-08-13 00:00:00,0,,5,,10,,5
,2002-08-12 00:00:00,0,,15,,90,,10
,2002-08-11 00:00:00,0,,35,,90,,10
,2002-08-10 00:00:00,0,,5,,10,,5
,2002-08-09 00:00:00,0,,<2,,<2,,<2
,2002-08-08 00:00:00,0,,<2,,2,,2
,2002-08-07 00:00:00,0,,5,,5,,<5
,2002-08-06 00:00:00,0,,<5,,<5,,5
,2002-08-05 00:00:00,0,,10,,<5,,25
,2002-08-04 00:00:00,0,,<5,,<5,,5
,2002-08-03 00:00:00,0,,25,,<5,,<5
,2002-08-02 00:00:00,0.11,,12,,12,,2
,2002-08-01 00:00:00,0,,34,,46,,20
,2002-07-31 00:00:00,0,,20,,25,,<5
,2002-07-30 00:00:00,0.01,,5,,30,,45
,2002-07-29 00:00:00,0,,10,,15,,30
,2002-07-28 00:00:00,0.02,,5,,10,,5
,2002-07-27 00:00:00,0.07,,<5,,<5,,5
,2002-07-26 00:00:00,0,,8,,4,,8
,2002-07-25 00:00:00,0,,12,,4,,18
,2002-07-24 00:00:00,0.01,,<5,,<5,,5
,2002-07-23 00:00:00,0.46,,<5,,<5,,<5
,2002-07-22 00:00:00,0,,<5,,5,,<5
,2002-07-21 00:00:00,0,,<5,,<5,,<5
,2002-07-20 00:00:00,0,,10,,5,,10
,2002-07-19 00:00:00,0.2,,40,,30,,56
,2002-07-18 00:00:00,0,,4,,34,,58
,2002-07-17 00:00:00,0,,5,,<5,,55
,2002-07-16 00:00:00,0,,10,,5,,5
,2002-07-15 00:00:00,0.05,,<5,,20,,25
,2002-07-14 00:00:00,0,,<5,,10,,15
,2002-07-13 00:00:00,0,,<5,,5,,10
,2002-07-12 00:00:00,0,,12,,42,,62
,2002-07-11 00:00:00,0,,66,,20,,70
,2002-07-10 00:00:00,0.01,,5,,<5,,10
,2002-07-09 00:00:00,0.61,,5,,<5,,<5
,2002-07-08 00:00:00,0,,<5,,<5,,<5
,2002-07-07 00:00:00,0,,<5,,5,,<5
,2002-07-06 00:00:00,0.01,,<5,,<5,,<5
,2002-07-05 00:00:00,0,,22,,50,,42
,2002-07-04 00:00:00,0,,,,No results available,,
,2002-07-03 00:00:00,0,,10,,10,,5
,2002-07-02 00:00:00,0,,5,,<5,,<5
,2002-07-01 00:00:00,0,,5,,10,,<5
,,,,,Daily monitoring began 7/1,,,
,2002-06-27 00:00:00,1.32,,18,,<2,,32
,2002-06-20 00:00:00,0,,22,,4,,2
