,Wollaston Beach Bacteria Counts,,,,,,,,,
,,,,,,,,,,
,Spreadsheets are updated by Wednesday of each week.,,,,,,,,,
,Displayed are Enterococcus counts.  The maximum daily limit is 104 colonies/100 mL,,,,,,,,,
,,,,,,,,,,
,"Typically, MDC declares a swimming advisory for the following day at any location exceeding 104 colonies/100mL, ",,,,,,,,,
,or if the 5-day running geometric mean for all locations combined exceeds 35 colonies/100 mL,,,,,,,,,
,,,,,,,,,,
,"Daily rainfall totals from Logan Airport, National Weather Service raingauge",,,,,,,,,
,All results are in colonies/100 mL,,,,,,,,,
,"Questions?  Contact Kelly Coughlin, Environmental Quality Dept 617-788-4717",,,,,,,,,
,,,,,,,,,,
,, Rain (in.),,Milton Street,,Channing Street,,Sachem Street,,Rice Road
,,,,,,,,,,
,,      ,,                                                          End of 2002 monitoring season,,,,,,
,2002-09-05 00:00:00,0,,76,,230,,90,,104
,2002-08-29 00:00:00,0.34,,100,,36,,4,,26
,,,,,,Daily monitoring ended 8/22/02,,,,
,2002-08-22 00:00:00,0.47,,<2,,2,,4,,<2
,2002-08-21 00:00:00,0,,25,,10,,15,,5
,2002-08-20 00:00:00,0.34,,1510,,115,,1520,,105
,2002-08-19 00:00:00,0,,60,,5,,5,,5
,2002-08-18 00:00:00,0,,30,,25,,15,,15
,2002-08-17 00:00:00,0,,<5,,25,,<5,,10
,2002-08-16 00:00:00,0.02,,2,,2,,<2,,2
,2002-08-15 00:00:00,0,,8,,8,,2,,16
,2002-08-14 00:00:00,0,,5,,10,,5,,10
,2002-08-13 00:00:00,0,,<5,,20,,<5,,95
,2002-08-12 00:00:00,0,,<5,,<5,,<5,,<5
,2002-08-11 00:00:00,0,,90,,45,,25,,10
,2002-08-10 00:00:00,0,,5,,<5,,<5,,<5
,2002-08-09 00:00:00,0,,<2,,28,,88,,<2
,2002-08-08 00:00:00,0,,2,,40,,18,,10
,2002-08-07 00:00:00,0,,20,,20,,5,,10
,2002-08-06 00:00:00,0,,10,,10,,100,,40
,2002-08-05 00:00:00,0,,20,,25,,10,,10
,2002-08-04 00:00:00,0,,<5,,10,,5,,<5
,2002-08-03 00:00:00,0,,<5,,5,,10,,25
,2002-08-02 00:00:00,0.11,,48,,18,,6,,8
,2002-08-01 00:00:00,0,,<2,,24,,24,,6
,2002-07-31 00:00:00,0,,10,,20,,20,,20
,2002-07-30 00:00:00,0.01,,5,,15,,60,,<5
,2002-07-29 00:00:00,0,,10,,20,,40,,<5
,2002-07-28 00:00:00,0.02,,5,,30,,5,,<5
,2002-07-27 00:00:00,0.07,,5,,5,,10,,<5
,2002-07-26 00:00:00,0,,10,,62,,6,,4
,2002-07-25 00:00:00,0,,24,,22,,8,,<2
,2002-07-24 00:00:00,0.01,,60,,120,,25,,35
,2002-07-23 00:00:00,0.46,,10,,<5,,20,,5
,2002-07-22 00:00:00,0,,<5,,15,,<5,,5
,2002-07-21 00:00:00,0,,5,,20,,30,,<5
,2002-07-20 00:00:00,0,,150,,260,,520,,125
,2002-07-19 00:00:00,0.2,,810,,1100,,24,,30
,2002-07-18 00:00:00,0,,4,,52,,32,,44
,2002-07-17 00:00:00,0,,<5,,15,,10,,5
,2002-07-16 00:00:00,0,,45,,80,,105,,40
,2002-07-15 00:00:00,0.05,,10,,<5,,<5,,<5
,2002-07-14 00:00:00,0,,10,,20,,15,,<5
,2002-07-13 00:00:00,0,,10,,15,,10,,<5
,2002-07-12 00:00:00,0,,12,,44,,20,,4
,2002-07-11 00:00:00,0,,10,,34,,22,,12
,2002-07-10 00:00:00,0.01,,10,,25,,420,,30
,2002-07-09 00:00:00,0.61,,<5,,<5,,15,,<5
,2002-07-08 00:00:00,0,,5,,<5,,30,,<5
,2002-07-07 00:00:00,0,,<5,,15,,<5,,10
,2002-07-06 00:00:00,0.01,,<5,,<5,,10,,15
,2002-07-05 00:00:00,0,,8,,48,,8,,<2
,2002-07-04 00:00:00,0,,,,Results not available,,,,
,2002-07-03 00:00:00,0,,5,,25,,5,,5
,2002-07-02 00:00:00,0,,5,,5,,5,,<5
,2002-07-01 00:00:00,0,,5,,<5,,5,,5
,,,,,Daily monitoring began 7/1,,,,,
,2002-06-27 00:00:00,1.32,,10,,26,,12,,4
,2002-06-20 00:00:00,0,,2,,14,,22,,36
