measure,strugritte
mendeley_data_f1,0.9443558037495015
mendeley_header_f1,0.38554216867469876
mendeley_metadata_f1,0.3842105263157895
mendeley_group_f1,0.06896551724137931
mendeley_derived_f1,0.30769230769230765
mendeley_notes_f1,0.13461538461538464
mendeley_accuracy,0.8870270270270271
mendeley_macro_avg,0.3708969513815102
troy_data_f1,0.9413718651386813
troy_header_f1,0.831758034026465
troy_metadata_f1,0.9206349206349206
troy_group_f1,0.5573770491803278
troy_derived_f1,0.15849056603773584
troy_notes_f1,0.9412751677852349
troy_accuracy,0.9066452057944355
troy_macro_avg,0.7251512671338941
deex_data_f1,0.9838205197513225
deex_header_f1,0.9200415368639667
deex_metadata_f1,0.9280223619846261
deex_group_f1,0.7877758913412564
deex_derived_f1,0.5826923076923077
deex_notes_f1,0.8914835164835163
deex_accuracy,0.9688852256336287
deex_macro_avg,0.8489726890194992
saus_data_f1,0.9829865501781814
saus_header_f1,0.9318801089918256
saus_metadata_f1,0.9580712788259957
saus_group_f1,0.9275862068965517
saus_derived_f1,0.43051771117166204
saus_notes_f1,0.9739263803680981
saus_accuracy,0.9679321784002949
saus_macro_avg,0.8674947060720525
cius_data_f1,0.9797650774849472
cius_header_f1,0.9930715935334873
cius_metadata_f1,0.9894636015325671
cius_group_f1,0.959349593495935
cius_derived_f1,0.3207207207207207
cius_notes_f1,0.996276991809382
cius_accuracy,0.9672712933753943
cius_macro_avg,0.87310792976284
govuk_data_f1,0.9719932028447354
govuk_header_f1,0.952182952182952
govuk_metadata_f1,0.9531066822977726
govuk_group_f1,0.8826815642458101
govuk_derived_f1,0.6034912718204488
govuk_notes_f1,0.9765739385065886
govuk_accuracy,0.9537202520929358
govuk_macro_avg,0.8900049353163846
