,filename,line_number,data_prob,derived_prob,group_prob,header_prob,metadata_prob,notes_prob,label,predicted
0,10s1058.xls_Data.csv,0,0.0,0.0,0.0,0.0,1.0,0.0,metadata,metadata
1,10s1058.xls_Data.csv,1,0.03,0.0,0.03,0.0,0.94,0.0,metadata,metadata
2,10s1058.xls_Data.csv,2,0.3,0.02,0.0,0.67,0.0,0.01,header,header
3,10s1058.xls_Data.csv,3,0.22555555555555556,0.0,0.7644444444444445,0.0,0.0,0.01,group,group
4,10s1058.xls_Data.csv,4,0.96,0.04,0.0,0.0,0.0,0.0,data,data
5,10s1058.xls_Data.csv,5,0.96,0.04,0.0,0.0,0.0,0.0,data,data
6,10s1058.xls_Data.csv,6,0.92,0.08,0.0,0.0,0.0,0.0,data,data
7,10s1058.xls_Data.csv,7,0.6,0.4,0.0,0.0,0.0,0.0,data,data
8,10s1058.xls_Data.csv,8,0.13,0.0,0.84,0.01,0.01,0.01,group,group
9,10s1058.xls_Data.csv,9,0.86,0.14,0.0,0.0,0.0,0.0,data,data
10,10s1058.xls_Data.csv,10,0.89,0.11,0.0,0.0,0.0,0.0,data,data
11,10s1058.xls_Data.csv,11,0.89,0.11,0.0,0.0,0.0,0.0,data,data
12,10s1058.xls_Data.csv,12,0.64,0.36,0.0,0.0,0.0,0.0,data,data
13,10s1058.xls_Data.csv,13,0.0,0.0,0.0,0.0,0.0,1.0,notes,notes
14,10s1058.xls_Data.csv,14,0.0,0.0,0.01,0.01,0.0,0.98,notes,notes
15,10s1167.xls_Data.csv,0,0.0,0.0,0.0,0.0,1.0,0.0,metadata,metadata
16,10s1167.xls_Data.csv,1,0.0,0.0,0.0,0.0,1.0,0.0,metadata,metadata
17,10s1167.xls_Data.csv,2,0.0,0.0,0.0,0.99,0.01,0.0,header,header
18,10s1167.xls_Data.csv,3,0.01,0.0,0.0,0.99,0.0,0.0,header,header
19,10s1167.xls_Data.csv,4,0.05,0.01,0.0,0.94,0.0,0.0,header,header
20,10s1167.xls_Data.csv,5,0.03,0.0,0.0,0.97,0.0,0.0,header,header
21,10s1167.xls_Data.csv,6,0.95,0.05,0.0,0.0,0.0,0.0,derived,data
22,10s1167.xls_Data.csv,7,1.0,0.0,0.0,0.0,0.0,0.0,data,data
23,10s1167.xls_Data.csv,8,1.0,0.0,0.0,0.0,0.0,0.0,data,data
24,10s1167.xls_Data.csv,9,1.0,0.0,0.0,0.0,0.0,0.0,data,data
25,10s1167.xls_Data.csv,10,1.0,0.0,0.0,0.0,0.0,0.0,data,data
26,10s1167.xls_Data.csv,11,1.0,0.0,0.0,0.0,0.0,0.0,data,data
27,10s1167.xls_Data.csv,12,1.0,0.0,0.0,0.0,0.0,0.0,data,data
28,10s1167.xls_Data.csv,13,0.99,0.01,0.0,0.0,0.0,0.0,data,data
29,10s1167.xls_Data.csv,14,1.0,0.0,0.0,0.0,0.0,0.0,data,data
30,10s1167.xls_Data.csv,15,1.0,0.0,0.0,0.0,0.0,0.0,data,data
31,10s1167.xls_Data.csv,16,1.0,0.0,0.0,0.0,0.0,0.0,data,data
32,10s1167.xls_Data.csv,17,1.0,0.0,0.0,0.0,0.0,0.0,data,data
33,10s1167.xls_Data.csv,18,0.93,0.07,0.0,0.0,0.0,0.0,data,data
34,10s1167.xls_Data.csv,19,0.98,0.02,0.0,0.0,0.0,0.0,data,data
35,10s1167.xls_Data.csv,20,0.94,0.0,0.0,0.06,0.0,0.0,data,data
36,10s1167.xls_Data.csv,21,1.0,0.0,0.0,0.0,0.0,0.0,data,data
37,10s1167.xls_Data.csv,22,1.0,0.0,0.0,0.0,0.0,0.0,data,data
38,10s1167.xls_Data.csv,23,1.0,0.0,0.0,0.0,0.0,0.0,data,data
39,10s1167.xls_Data.csv,24,1.0,0.0,0.0,0.0,0.0,0.0,data,data
40,10s1167.xls_Data.csv,25,0.94,0.06,0.0,0.0,0.0,0.0,data,data
41,10s1167.xls_Data.csv,26,0.99,0.01,0.0,0.0,0.0,0.0,data,data
42,10s1167.xls_Data.csv,27,0.96,0.03,0.0,0.01,0.0,0.0,data,data
43,10s1167.xls_Data.csv,28,0.99,0.01,0.0,0.0,0.0,0.0,data,data
44,10s1167.xls_Data.csv,29,0.87,0.13,0.0,0.0,0.0,0.0,data,data
45,10s1167.xls_Data.csv,30,0.87,0.13,0.0,0.0,0.0,0.0,data,data
46,10s1167.xls_Data.csv,31,0.88,0.12,0.0,0.0,0.0,0.0,data,data
47,10s1167.xls_Data.csv,32,1.0,0.0,0.0,0.0,0.0,0.0,data,data
48,10s1167.xls_Data.csv,33,0.8,0.2,0.0,0.0,0.0,0.0,data,data
49,10s1167.xls_Data.csv,34,0.95,0.05,0.0,0.0,0.0,0.0,data,data
50,10s1167.xls_Data.csv,35,0.0,0.0,0.0,0.0,0.0,1.0,notes,notes
51,10s1167.xls_Data.csv,36,0.0,0.0,0.0,0.0,0.0,1.0,notes,notes
52,10s1256.xls_Data.csv,0,0.0,0.0,0.0,0.0,1.0,0.0,metadata,metadata
53,10s1256.xls_Data.csv,1,0.0,0.0,0.0,0.0,0.99,0.01,metadata,metadata
