,filename,row,predicted,label
0,10s1058.xls_Data.csv,0,data,metadata
1,10s1058.xls_Data.csv,1,data,empty
2,10s1058.xls_Data.csv,2,data,metadata
3,10s1058.xls_Data.csv,3,data,empty
4,10s1058.xls_Data.csv,4,data,empty
5,10s1058.xls_Data.csv,5,data,empty
6,10s1058.xls_Data.csv,6,header,header
7,10s1058.xls_Data.csv,7,data,empty
8,10s1058.xls_Data.csv,8,data,empty
9,10s1058.xls_Data.csv,9,data,group
10,10s1058.xls_Data.csv,10,data,data
11,10s1058.xls_Data.csv,11,data,data
12,10s1058.xls_Data.csv,12,data,data
13,10s1058.xls_Data.csv,13,data,data
14,10s1058.xls_Data.csv,14,data,group
15,10s1058.xls_Data.csv,15,data,data
16,10s1058.xls_Data.csv,16,data,data
17,10s1058.xls_Data.csv,17,data,data
18,10s1058.xls_Data.csv,18,data,data
19,10s1058.xls_Data.csv,19,data,empty
20,10s1058.xls_Data.csv,20,data,notes
21,10s1058.xls_Data.csv,21,data,notes
22,10s1167.xls_Data.csv,0,data,metadata
23,10s1167.xls_Data.csv,1,data,empty
24,10s1167.xls_Data.csv,2,data,metadata
25,10s1167.xls_Data.csv,3,data,empty
26,10s1167.xls_Data.csv,4,data,empty
27,10s1167.xls_Data.csv,5,data,header
28,10s1167.xls_Data.csv,6,data,header
29,10s1167.xls_Data.csv,7,data,header
30,10s1167.xls_Data.csv,8,data,header
31,10s1167.xls_Data.csv,9,data,derived
32,10s1167.xls_Data.csv,10,data,data
33,10s1167.xls_Data.csv,11,data,data
34,10s1167.xls_Data.csv,12,data,data
35,10s1167.xls_Data.csv,13,data,data
36,10s1167.xls_Data.csv,14,data,data
37,10s1167.xls_Data.csv,15,data,data
38,10s1167.xls_Data.csv,16,data,data
39,10s1167.xls_Data.csv,17,data,data
40,10s1167.xls_Data.csv,18,data,data
41,10s1167.xls_Data.csv,19,data,data
42,10s1167.xls_Data.csv,20,data,data
43,10s1167.xls_Data.csv,21,data,data
44,10s1167.xls_Data.csv,22,data,data
45,10s1167.xls_Data.csv,23,data,data
46,10s1167.xls_Data.csv,24,data,data
47,10s1167.xls_Data.csv,25,data,data
48,10s1167.xls_Data.csv,26,data,data
49,10s1167.xls_Data.csv,27,data,data
50,10s1167.xls_Data.csv,28,data,data
51,10s1167.xls_Data.csv,29,data,data
52,10s1167.xls_Data.csv,30,data,data
53,10s1167.xls_Data.csv,31,data,data
54,10s1167.xls_Data.csv,32,data,data
55,10s1167.xls_Data.csv,33,data,data
56,10s1167.xls_Data.csv,34,data,data
57,10s1167.xls_Data.csv,35,data,data
58,10s1167.xls_Data.csv,36,data,data
59,10s1167.xls_Data.csv,37,data,data
60,10s1167.xls_Data.csv,38,data,empty
61,10s1167.xls_Data.csv,39,data,empty
