,filename,line_number,data_prob,derived_prob,group_prob,header_prob,metadata_prob,notes_prob,label,predicted
0,C10036_C10036.csv,0,0.14,0.01,0.02,0.17,0.5,0.16,metadata,metadata
1,C10036_C10036.csv,1,0.02,0.0,0.01,0.97,0.0,0.0,header,header
2,C10036_C10036.csv,2,0.01,0.0,0.01,0.98,0.0,0.0,header,header
3,C10036_C10036.csv,3,0.38,0.01,0.27,0.12,0.19,0.03,group,data
4,C10036_C10036.csv,4,0.78,0.2,0.0,0.02,0.0,0.0,derived,data
5,C10036_C10036.csv,5,0.96,0.04,0.0,0.0,0.0,0.0,data,data
6,C10036_C10036.csv,6,0.96,0.04,0.0,0.0,0.0,0.0,data,data
7,C10036_C10036.csv,7,0.93,0.07,0.0,0.0,0.0,0.0,data,data
8,C10036_C10036.csv,8,0.97,0.03,0.0,0.0,0.0,0.0,data,data
9,C10036_C10036.csv,9,0.25,0.75,0.0,0.0,0.0,0.0,data,derived
10,C10036_C10036.csv,10,0.94,0.06,0.0,0.0,0.0,0.0,data,data
11,C10036_C10036.csv,11,0.0,0.0,0.01,0.0,0.02,0.97,notes,notes
12,C10036_C10036.csv,12,0.0,0.0,0.0,0.0,0.0,1.0,notes,notes
13,C10036_C10036.csv,13,0.07,0.0,0.03,0.01,0.23,0.66,notes,notes
14,C10143_C10143.csv,0,0.04,0.0,0.02,0.01,0.93,0.0,metadata,metadata
15,C10143_C10143.csv,1,0.06,0.01,0.0,0.93,0.0,0.0,header,header
16,C10143_C10143.csv,2,0.86,0.14,0.0,0.0,0.0,0.0,data,data
17,C10143_C10143.csv,3,0.89,0.11,0.0,0.0,0.0,0.0,data,data
18,C10143_C10143.csv,4,0.95,0.05,0.0,0.0,0.0,0.0,data,data
19,C10143_C10143.csv,5,0.15,0.0,0.12,0.0,0.01,0.72,notes,notes
20,C10143_C10143.csv,6,0.01,0.0,0.0,0.0,0.0,0.99,notes,notes
21,C10143_C10143.csv,7,0.04,0.0,0.0,0.01,0.06,0.89,notes,notes
22,C10143_C10143.csv,8,0.0,0.0,0.0,0.0,0.0,1.0,notes,notes
23,C10143_C10143.csv,9,0.05,0.01,0.01,0.0,0.11,0.82,notes,notes
24,C10075_C10075.csv,0,0.04,0.0,0.01,0.08,0.8,0.07,metadata,metadata
25,C10075_C10075.csv,1,0.07,0.0,0.0,0.93,0.0,0.0,header,header
26,C10075_C10075.csv,2,0.95,0.05,0.0,0.0,0.0,0.0,data,data
27,C10075_C10075.csv,3,0.97,0.03,0.0,0.0,0.0,0.0,data,data
28,C10075_C10075.csv,4,0.85,0.15,0.0,0.0,0.0,0.0,data,data
29,C10075_C10075.csv,5,0.87,0.13,0.0,0.0,0.0,0.0,data,data
30,C10075_C10075.csv,6,0.83,0.17,0.0,0.0,0.0,0.0,data,data
31,C10075_C10075.csv,7,0.89,0.11,0.0,0.0,0.0,0.0,data,data
32,C10075_C10075.csv,8,0.9,0.1,0.0,0.0,0.0,0.0,data,data
33,C10075_C10075.csv,9,0.88,0.12,0.0,0.0,0.0,0.0,data,data
34,C10075_C10075.csv,10,0.92,0.08,0.0,0.0,0.0,0.0,data,data
35,C10075_C10075.csv,11,0.97,0.03,0.0,0.0,0.0,0.0,data,data
36,C10075_C10075.csv,12,0.93,0.07,0.0,0.0,0.0,0.0,data,data
37,C10075_C10075.csv,13,0.95,0.05,0.0,0.0,0.0,0.0,data,data
38,C10075_C10075.csv,14,0.96,0.04,0.0,0.0,0.0,0.0,data,data
39,C10075_C10075.csv,15,0.73,0.27,0.0,0.0,0.0,0.0,data,data
40,C10075_C10075.csv,16,0.0,0.0,0.0,0.0,0.0,1.0,notes,notes
41,C10075_C10075.csv,17,0.0,0.0,0.0,0.0,0.0,1.0,notes,notes
42,C10075_C10075.csv,18,0.09,0.0,0.12,0.02,0.08,0.69,notes,notes
43,C10192_C10192.csv,0,0.02,0.0,0.0,0.0,0.91,0.07,metadata,metadata
44,C10192_C10192.csv,1,0.01,0.0,0.04,0.0,0.94,0.01,metadata,metadata
45,C10192_C10192.csv,2,0.06,0.01,0.18,0.69,0.05,0.01,header,header
46,C10192_C10192.csv,3,0.08,0.0,0.0,0.92,0.0,0.0,header,header
47,C10192_C10192.csv,4,0.34,0.66,0.0,0.0,0.0,0.0,derived,derived
48,C10192_C10192.csv,5,0.94,0.06,0.0,0.0,0.0,0.0,data,data
49,C10192_C10192.csv,6,0.96,0.04,0.0,0.0,0.0,0.0,data,data
50,C10192_C10192.csv,7,1.0,0.0,0.0,0.0,0.0,0.0,derived,data
51,C10192_C10192.csv,8,0.96,0.04,0.0,0.0,0.0,0.0,data,data
52,C10192_C10192.csv,9,0.97,0.03,0.0,0.0,0.0,0.0,data,data
53,C10192_C10192.csv,10,1.0,0.0,0.0,0.0,0.0,0.0,derived,data
54,C10192_C10192.csv,11,1.0,0.0,0.0,0.0,0.0,0.0,data,data
55,C10192_C10192.csv,12,1.0,0.0,0.0,0.0,0.0,0.0,data,data
56,C10192_C10192.csv,13,0.99,0.01,0.0,0.0,0.0,0.0,derived,data
57,C10192_C10192.csv,14,1.0,0.0,0.0,0.0,0.0,0.0,data,data
58,C10192_C10192.csv,15,0.92,0.08,0.0,0.0,0.0,0.0,data,data
59,C10192_C10192.csv,16,0.01,0.01,0.01,0.0,0.02,0.95,notes,notes
60,C10192_C10192.csv,17,0.07,0.0,0.01,0.02,0.03,0.87,notes,notes
61,C10191_C10191.csv,0,0.02,0.0,0.02,0.02,0.93,0.01,metadata,metadata
62,C10191_C10191.csv,1,0.01,0.0,0.0,0.99,0.0,0.0,header,header
63,C10191_C10191.csv,2,0.52,0.31,0.0,0.16,0.01,0.0,data,data
64,C10191_C10191.csv,3,0.96,0.04,0.0,0.0,0.0,0.0,data,data
65,C10191_C10191.csv,4,0.99,0.01,0.0,0.0,0.0,0.0,data,data
66,C10191_C10191.csv,5,0.99,0.01,0.0,0.0,0.0,0.0,data,data
67,C10191_C10191.csv,6,0.96,0.04,0.0,0.0,0.0,0.0,data,data
68,C10191_C10191.csv,7,0.99,0.01,0.0,0.0,0.0,0.0,data,data
69,C10191_C10191.csv,8,0.79,0.21,0.0,0.0,0.0,0.0,data,data
70,C10191_C10191.csv,9,0.99,0.01,0.0,0.0,0.0,0.0,data,data
71,C10191_C10191.csv,10,0.99,0.01,0.0,0.0,0.0,0.0,data,data
72,C10191_C10191.csv,11,1.0,0.0,0.0,0.0,0.0,0.0,data,data
73,C10191_C10191.csv,12,0.99,0.01,0.0,0.0,0.0,0.0,data,data
74,C10191_C10191.csv,13,0.97,0.03,0.0,0.0,0.0,0.0,data,data
75,C10191_C10191.csv,14,1.0,0.0,0.0,0.0,0.0,0.0,data,data
76,C10191_C10191.csv,15,0.99,0.01,0.0,0.0,0.0,0.0,data,data
77,C10191_C10191.csv,16,0.99,0.01,0.0,0.0,0.0,0.0,data,data
78,C10191_C10191.csv,17,0.99,0.01,0.0,0.0,0.0,0.0,data,data
79,C10191_C10191.csv,18,0.96,0.04,0.0,0.0,0.0,0.0,data,data
80,C10191_C10191.csv,19,0.99,0.01,0.0,0.0,0.0,0.0,data,data
81,C10191_C10191.csv,20,0.98,0.02,0.0,0.0,0.0,0.0,data,data
82,C10191_C10191.csv,21,0.98,0.02,0.0,0.0,0.0,0.0,data,data
83,C10191_C10191.csv,22,0.96,0.04,0.0,0.0,0.0,0.0,data,data
84,C10191_C10191.csv,23,0.96,0.04,0.0,0.0,0.0,0.0,data,data
85,C10191_C10191.csv,24,0.99,0.01,0.0,0.0,0.0,0.0,data,data
86,C10191_C10191.csv,25,0.98,0.02,0.0,0.0,0.0,0.0,data,data
87,C10191_C10191.csv,26,0.0,0.0,0.0,0.0,0.0,1.0,notes,notes
88,C10191_C10191.csv,27,0.03,0.0,0.0,0.0,0.01,0.96,notes,notes
89,C10096_C10096.csv,0,0.12,0.0,0.05,0.15,0.64,0.04,metadata,metadata
90,C10096_C10096.csv,1,0.23,0.01,0.02,0.63,0.11,0.0,header,header
91,C10096_C10096.csv,2,0.27,0.01,0.06,0.66,0.0,0.0,header,header
92,C10096_C10096.csv,3,0.85,0.14,0.0,0.01,0.0,0.0,data,data
93,C10096_C10096.csv,4,0.99,0.01,0.0,0.0,0.0,0.0,data,data
94,C10096_C10096.csv,5,0.97,0.03,0.0,0.0,0.0,0.0,data,data
95,C10096_C10096.csv,6,0.98,0.02,0.0,0.0,0.0,0.0,data,data
96,C10096_C10096.csv,7,0.99,0.01,0.0,0.0,0.0,0.0,data,data
97,C10096_C10096.csv,8,0.97,0.03,0.0,0.0,0.0,0.0,data,data
98,C10096_C10096.csv,9,0.98,0.02,0.0,0.0,0.0,0.0,data,data
99,C10096_C10096.csv,10,0.98,0.02,0.0,0.0,0.0,0.0,data,data
100,C10096_C10096.csv,11,0.98,0.02,0.0,0.0,0.0,0.0,data,data
101,C10096_C10096.csv,12,0.99,0.01,0.0,0.0,0.0,0.0,data,data
102,C10096_C10096.csv,13,0.99,0.01,0.0,0.0,0.0,0.0,data,data
103,C10096_C10096.csv,14,0.89,0.11,0.0,0.0,0.0,0.0,data,data
104,C10096_C10096.csv,15,0.0,0.0,0.01,0.0,0.0,0.99,notes,notes
105,C10096_C10096.csv,16,0.01,0.0,0.0,0.0,0.0,0.99,notes,notes
106,C10096_C10096.csv,17,0.1,0.0,0.02,0.02,0.36,0.5,notes,notes
107,C10013_C10013.csv,0,0.0,0.0,0.0,0.01,0.99,0.0,metadata,metadata
108,C10013_C10013.csv,1,0.01,0.0,0.08,0.01,0.83,0.07,metadata,metadata
109,C10013_C10013.csv,2,0.44,0.02,0.06,0.17,0.13,0.18,metadata,data
110,C10013_C10013.csv,3,0.03,0.0,0.0,0.97,0.0,0.0,header,header
111,C10013_C10013.csv,4,0.99,0.01,0.0,0.0,0.0,0.0,data,data
112,C10013_C10013.csv,5,0.97,0.03,0.0,0.0,0.0,0.0,data,data
113,C10013_C10013.csv,6,0.95,0.05,0.0,0.0,0.0,0.0,data,data
114,C10013_C10013.csv,7,0.0,0.0,0.0,0.0,0.0,1.0,notes,notes
115,C10048_C10048.csv,0,0.03,0.0,0.01,0.0,0.91,0.05,metadata,metadata
116,C10048_C10048.csv,1,0.1,0.01,0.07,0.52,0.26,0.04,metadata,header
117,C10048_C10048.csv,2,0.02,0.0,0.0,0.98,0.0,0.0,header,header
118,C10048_C10048.csv,3,0.77,0.11,0.0,0.11,0.01,0.0,data,data
119,C10048_C10048.csv,4,0.81,0.18,0.0,0.01,0.0,0.0,data,data
