,filename,line_number,data_prob,derived_prob,group_prob,header_prob,metadata_prob,notes_prob,label,predicted
0,Table_70_Full_time_Law_Enforcement_Employees_by_Region_and_Geographic_Division_by_Rate_2017.xls_17tbl70.csv,0,0.01,0.0,0.0,0.01,0.97,0.01,metadata,metadata
1,Table_70_Full_time_Law_Enforcement_Employees_by_Region_and_Geographic_Division_by_Rate_2017.xls_17tbl70.csv,1,0.0,0.0,0.04,0.0,0.96,0.0,metadata,metadata
2,Table_70_Full_time_Law_Enforcement_Employees_by_Region_and_Geographic_Division_by_Rate_2017.xls_17tbl70.csv,2,0.0,0.0,0.04,0.0,0.95,0.01,metadata,metadata
3,Table_70_Full_time_Law_Enforcement_Employees_by_Region_and_Geographic_Division_by_Rate_2017.xls_17tbl70.csv,3,0.0,0.0,0.1625,0.01,0.8275,0.0,metadata,metadata
4,Table_70_Full_time_Law_Enforcement_Employees_by_Region_and_Geographic_Division_by_Rate_2017.xls_17tbl70.csv,4,0.11,0.0,0.0,0.87,0.02,0.0,header,header
5,Table_70_Full_time_Law_Enforcement_Employees_by_Region_and_Geographic_Division_by_Rate_2017.xls_17tbl70.csv,5,0.61,0.18,0.0,0.21,0.0,0.0,derived,data
6,Table_70_Full_time_Law_Enforcement_Employees_by_Region_and_Geographic_Division_by_Rate_2017.xls_17tbl70.csv,6,0.94,0.05,0.0,0.01,0.0,0.0,derived,data
7,Table_70_Full_time_Law_Enforcement_Employees_by_Region_and_Geographic_Division_by_Rate_2017.xls_17tbl70.csv,7,0.98,0.02,0.0,0.0,0.0,0.0,derived,data
8,Table_70_Full_time_Law_Enforcement_Employees_by_Region_and_Geographic_Division_by_Rate_2017.xls_17tbl70.csv,8,0.88,0.09,0.0,0.03,0.0,0.0,derived,data
9,Table_70_Full_time_Law_Enforcement_Employees_by_Region_and_Geographic_Division_by_Rate_2017.xls_17tbl70.csv,9,0.99,0.01,0.0,0.0,0.0,0.0,data,data
10,Table_70_Full_time_Law_Enforcement_Employees_by_Region_and_Geographic_Division_by_Rate_2017.xls_17tbl70.csv,10,0.9,0.07,0.0,0.03,0.0,0.0,data,data
11,Table_70_Full_time_Law_Enforcement_Employees_by_Region_and_Geographic_Division_by_Rate_2017.xls_17tbl70.csv,11,0.99,0.01,0.0,0.0,0.0,0.0,data,data
12,Table_70_Full_time_Law_Enforcement_Employees_by_Region_and_Geographic_Division_by_Rate_2017.xls_17tbl70.csv,12,0.87,0.09,0.0,0.03,0.0,0.01,data,data
13,Table_70_Full_time_Law_Enforcement_Employees_by_Region_and_Geographic_Division_by_Rate_2017.xls_17tbl70.csv,13,0.99,0.01,0.0,0.0,0.0,0.0,derived,data
14,Table_70_Full_time_Law_Enforcement_Employees_by_Region_and_Geographic_Division_by_Rate_2017.xls_17tbl70.csv,14,0.9,0.07,0.0,0.02,0.0,0.01,derived,data
15,Table_70_Full_time_Law_Enforcement_Employees_by_Region_and_Geographic_Division_by_Rate_2017.xls_17tbl70.csv,15,0.97,0.03,0.0,0.0,0.0,0.0,data,data
16,Table_70_Full_time_Law_Enforcement_Employees_by_Region_and_Geographic_Division_by_Rate_2017.xls_17tbl70.csv,16,0.87,0.1,0.0,0.02,0.0,0.01,data,data
17,Table_70_Full_time_Law_Enforcement_Employees_by_Region_and_Geographic_Division_by_Rate_2017.xls_17tbl70.csv,17,0.97,0.03,0.0,0.0,0.0,0.0,data,data
18,Table_70_Full_time_Law_Enforcement_Employees_by_Region_and_Geographic_Division_by_Rate_2017.xls_17tbl70.csv,18,0.88,0.09,0.0,0.02,0.0,0.01,data,data
19,Table_70_Full_time_Law_Enforcement_Employees_by_Region_and_Geographic_Division_by_Rate_2017.xls_17tbl70.csv,19,0.99,0.01,0.0,0.0,0.0,0.0,derived,data
20,Table_70_Full_time_Law_Enforcement_Employees_by_Region_and_Geographic_Division_by_Rate_2017.xls_17tbl70.csv,20,0.91,0.07,0.0,0.02,0.0,0.0,derived,data
21,Table_70_Full_time_Law_Enforcement_Employees_by_Region_and_Geographic_Division_by_Rate_2017.xls_17tbl70.csv,21,0.99,0.01,0.0,0.0,0.0,0.0,data,data
22,Table_70_Full_time_Law_Enforcement_Employees_by_Region_and_Geographic_Division_by_Rate_2017.xls_17tbl70.csv,22,0.86,0.1,0.0,0.03,0.0,0.01,data,data
