,filename,line_number,predicted,label
0,housing-in-london-2014-tables.xls_6.12 Decent homes trend.csv,0,metadata,metadata
1,housing-in-london-2014-tables.xls_6.12 Decent homes trend.csv,1,metadata,metadata
2,housing-in-london-2014-tables.xls_6.12 Decent homes trend.csv,2,metadata,metadata
3,housing-in-london-2014-tables.xls_6.12 Decent homes trend.csv,3,header,header
4,housing-in-london-2014-tables.xls_6.12 Decent homes trend.csv,4,header,header
5,housing-in-london-2014-tables.xls_6.12 Decent homes trend.csv,5,derived,data
6,housing-in-london-2014-tables.xls_6.12 Decent homes trend.csv,6,derived,data
7,housing-in-london-2014-tables.xls_6.12 Decent homes trend.csv,7,group,group
8,housing-in-london-2014-tables.xls_6.12 Decent homes trend.csv,8,derived,data
9,housing-in-london-2014-tables.xls_6.12 Decent homes trend.csv,9,derived,data
10,1773312.xls_DCLG June 2010.csv,0,header,header
11,1773312.xls_DCLG June 2010.csv,1,data,data
12,1773312.xls_DCLG June 2010.csv,2,data,data
13,1773312.xls_DCLG June 2010.csv,3,data,data
14,1773312.xls_DCLG June 2010.csv,4,data,data
15,1773312.xls_DCLG June 2010.csv,5,data,data
16,1773312.xls_DCLG June 2010.csv,6,data,data
17,1773312.xls_DCLG June 2010.csv,7,data,data
18,1773312.xls_DCLG June 2010.csv,8,data,data
19,1773312.xls_DCLG June 2010.csv,9,data,data
20,1773312.xls_DCLG June 2010.csv,10,data,data
21,1773312.xls_DCLG June 2010.csv,11,data,data
22,1773312.xls_DCLG June 2010.csv,12,data,data
23,1773312.xls_DCLG June 2010.csv,13,data,data
24,1773312.xls_DCLG June 2010.csv,14,data,data
25,1773312.xls_DCLG June 2010.csv,15,data,data
26,1773312.xls_DCLG June 2010.csv,16,data,data
27,1773312.xls_DCLG June 2010.csv,17,data,data
28,1773312.xls_DCLG June 2010.csv,18,data,data
29,1773312.xls_DCLG June 2010.csv,19,data,data
30,1773312.xls_DCLG June 2010.csv,20,data,data
31,1773312.xls_DCLG June 2010.csv,21,data,data
32,1773312.xls_DCLG June 2010.csv,22,data,data
33,1773312.xls_DCLG June 2010.csv,23,data,data
34,1773312.xls_DCLG June 2010.csv,24,data,data
35,1773312.xls_DCLG June 2010.csv,25,data,data
36,1773312.xls_DCLG June 2010.csv,26,data,data
37,1773312.xls_DCLG June 2010.csv,27,data,data
38,1773312.xls_DCLG June 2010.csv,28,data,data
39,1773312.xls_DCLG June 2010.csv,29,data,data
40,1773312.xls_DCLG June 2010.csv,30,data,data
41,1773312.xls_DCLG June 2010.csv,31,data,data
42,1773312.xls_DCLG June 2010.csv,32,data,data
43,1773312.xls_DCLG June 2010.csv,33,data,data
44,1773312.xls_DCLG June 2010.csv,34,data,data
45,1773312.xls_DCLG June 2010.csv,35,data,data
46,1773312.xls_DCLG June 2010.csv,36,data,data
47,1773312.xls_DCLG June 2010.csv,37,data,data
48,1773312.xls_DCLG June 2010.csv,38,data,data
49,1773312.xls_DCLG June 2010.csv,39,data,data
50,1773312.xls_DCLG June 2010.csv,40,data,data
51,1773312.xls_DCLG June 2010.csv,41,data,data
52,1773312.xls_DCLG June 2010.csv,42,data,data
53,1773312.xls_DCLG June 2010.csv,43,data,data
54,1773312.xls_DCLG June 2010.csv,44,data,data
55,1773312.xls_DCLG June 2010.csv,45,data,data
56,1773312.xls_DCLG June 2010.csv,46,data,data
57,1773312.xls_DCLG June 2010.csv,47,data,data
58,1773312.xls_DCLG June 2010.csv,48,data,data
59,1773312.xls_DCLG June 2010.csv,49,data,data
60,1773312.xls_DCLG June 2010.csv,50,data,data
61,1773312.xls_DCLG June 2010.csv,51,data,data
62,1773312.xls_DCLG June 2010.csv,52,data,data
63,1773312.xls_DCLG June 2010.csv,53,data,data
64,1773312.xls_DCLG June 2010.csv,54,data,data
65,1773312.xls_DCLG June 2010.csv,55,data,data
66,1773312.xls_DCLG June 2010.csv,56,data,data
67,1773312.xls_DCLG June 2010.csv,57,data,data
68,1773312.xls_DCLG June 2010.csv,58,data,data
69,1773312.xls_DCLG June 2010.csv,59,data,data
70,1773312.xls_DCLG June 2010.csv,60,data,data
71,1773312.xls_DCLG June 2010.csv,61,data,data
72,1773312.xls_DCLG June 2010.csv,62,data,data
73,1773312.xls_DCLG June 2010.csv,63,data,data
74,1773312.xls_DCLG June 2010.csv,64,data,data
75,1773312.xls_DCLG June 2010.csv,65,data,data
76,1773312.xls_DCLG June 2010.csv,66,data,data
77,1773312.xls_DCLG June 2010.csv,67,data,data
78,1773312.xls_DCLG June 2010.csv,68,data,data
79,1773312.xls_DCLG June 2010.csv,69,data,data
80,1773312.xls_DCLG June 2010.csv,70,data,data
81,1773312.xls_DCLG June 2010.csv,71,data,data
82,1773312.xls_DCLG June 2010.csv,72,data,data
83,1773312.xls_DCLG June 2010.csv,73,data,data
84,1773312.xls_DCLG June 2010.csv,74,data,data
85,1773312.xls_DCLG June 2010.csv,75,data,data
86,1773312.xls_DCLG June 2010.csv,76,data,data
87,1773312.xls_DCLG June 2010.csv,77,data,data
88,1773312.xls_DCLG June 2010.csv,78,data,data
89,1773312.xls_DCLG June 2010.csv,79,data,data
90,1773312.xls_DCLG June 2010.csv,80,data,data
91,1773312.xls_DCLG June 2010.csv,81,data,data
92,1773312.xls_DCLG June 2010.csv,82,data,data
93,1773312.xls_DCLG June 2010.csv,83,data,data
94,1773312.xls_DCLG June 2010.csv,84,data,data
95,1773312.xls_DCLG June 2010.csv,85,data,data
96,1773312.xls_DCLG June 2010.csv,86,data,data
97,1773312.xls_DCLG June 2010.csv,87,data,data
98,1773312.xls_DCLG June 2010.csv,88,data,data
99,1773312.xls_DCLG June 2010.csv,89,data,data
100,1773312.xls_DCLG June 2010.csv,90,data,data
101,1773312.xls_DCLG June 2010.csv,91,data,data
102,1773312.xls_DCLG June 2010.csv,92,data,data
103,1773312.xls_DCLG June 2010.csv,93,data,data
104,1773312.xls_DCLG June 2010.csv,94,data,data
105,1773312.xls_DCLG June 2010.csv,95,data,data
106,1773312.xls_DCLG June 2010.csv,96,data,data
107,1773312.xls_DCLG June 2010.csv,97,data,data
108,1773312.xls_DCLG June 2010.csv,98,data,data
109,1773312.xls_DCLG June 2010.csv,99,data,data
110,1773312.xls_DCLG June 2010.csv,100,data,data
111,1773312.xls_DCLG June 2010.csv,101,data,data
112,1773312.xls_DCLG June 2010.csv,102,data,data
113,1773312.xls_DCLG June 2010.csv,103,data,data
114,1773312.xls_DCLG June 2010.csv,104,data,data
115,1773312.xls_DCLG June 2010.csv,105,data,data
116,1773312.xls_DCLG June 2010.csv,106,data,data
117,1773312.xls_DCLG June 2010.csv,107,data,data
118,1773312.xls_DCLG June 2010.csv,108,data,data
119,1773312.xls_DCLG June 2010.csv,109,data,data
120,1773312.xls_DCLG June 2010.csv,110,data,data
121,1773312.xls_DCLG June 2010.csv,111,data,data
122,1773312.xls_DCLG June 2010.csv,112,data,data
123,1773312.xls_DCLG June 2010.csv,113,data,data
124,1773312.xls_DCLG June 2010.csv,114,data,data
125,1773312.xls_DCLG June 2010.csv,115,data,data
126,1773312.xls_DCLG June 2010.csv,116,data,data
127,1773312.xls_DCLG June 2010.csv,117,data,data
128,1773312.xls_DCLG June 2010.csv,118,data,data
129,1773312.xls_DCLG June 2010.csv,119,data,data
130,1773312.xls_DCLG June 2010.csv,120,data,data
131,1773312.xls_DCLG June 2010.csv,121,data,data
132,1773312.xls_DCLG June 2010.csv,122,data,data
133,1773312.xls_DCLG June 2010.csv,123,data,data
134,1773312.xls_DCLG June 2010.csv,124,data,data
135,1773312.xls_DCLG June 2010.csv,125,data,data
136,1773312.xls_DCLG June 2010.csv,126,data,data
137,1773312.xls_DCLG June 2010.csv,127,data,data
138,Report 1519 Background Data.xls_bury1.8.csv,0,metadata,metadata
139,Report 1519 Background Data.xls_bury1.8.csv,1,header,header
140,Report 1519 Background Data.xls_bury1.8.csv,2,group,group
