,filename,line_number,predicted,label
0,Expanded_Homicide_Data_Table_8_Murder_Victims_by_Weapon_2013-2017.xls_17shrtbl08.csv,0,metadata,metadata
1,Expanded_Homicide_Data_Table_8_Murder_Victims_by_Weapon_2013-2017.xls_17shrtbl08.csv,1,metadata,metadata
2,Expanded_Homicide_Data_Table_8_Murder_Victims_by_Weapon_2013-2017.xls_17shrtbl08.csv,2,metadata,metadata
3,Expanded_Homicide_Data_Table_8_Murder_Victims_by_Weapon_2013-2017.xls_17shrtbl08.csv,3,derived,header
4,Expanded_Homicide_Data_Table_8_Murder_Victims_by_Weapon_2013-2017.xls_17shrtbl08.csv,4,derived,derived
5,Expanded_Homicide_Data_Table_8_Murder_Victims_by_Weapon_2013-2017.xls_17shrtbl08.csv,5,derived,derived
6,Expanded_Homicide_Data_Table_8_Murder_Victims_by_Weapon_2013-2017.xls_17shrtbl08.csv,6,derived,data
7,Expanded_Homicide_Data_Table_8_Murder_Victims_by_Weapon_2013-2017.xls_17shrtbl08.csv,7,derived,data
8,Expanded_Homicide_Data_Table_8_Murder_Victims_by_Weapon_2013-2017.xls_17shrtbl08.csv,8,derived,data
9,Expanded_Homicide_Data_Table_8_Murder_Victims_by_Weapon_2013-2017.xls_17shrtbl08.csv,9,derived,data
10,Expanded_Homicide_Data_Table_8_Murder_Victims_by_Weapon_2013-2017.xls_17shrtbl08.csv,10,derived,data
11,Expanded_Homicide_Data_Table_8_Murder_Victims_by_Weapon_2013-2017.xls_17shrtbl08.csv,11,derived,derived
12,Expanded_Homicide_Data_Table_8_Murder_Victims_by_Weapon_2013-2017.xls_17shrtbl08.csv,12,derived,data
13,Expanded_Homicide_Data_Table_8_Murder_Victims_by_Weapon_2013-2017.xls_17shrtbl08.csv,13,derived,data
14,Expanded_Homicide_Data_Table_8_Murder_Victims_by_Weapon_2013-2017.xls_17shrtbl08.csv,14,derived,data
15,Expanded_Homicide_Data_Table_8_Murder_Victims_by_Weapon_2013-2017.xls_17shrtbl08.csv,15,derived,data
16,Expanded_Homicide_Data_Table_8_Murder_Victims_by_Weapon_2013-2017.xls_17shrtbl08.csv,16,derived,data
17,Expanded_Homicide_Data_Table_8_Murder_Victims_by_Weapon_2013-2017.xls_17shrtbl08.csv,17,derived,data
18,Expanded_Homicide_Data_Table_8_Murder_Victims_by_Weapon_2013-2017.xls_17shrtbl08.csv,18,derived,data
19,Expanded_Homicide_Data_Table_8_Murder_Victims_by_Weapon_2013-2017.xls_17shrtbl08.csv,19,derived,data
20,Expanded_Homicide_Data_Table_8_Murder_Victims_by_Weapon_2013-2017.xls_17shrtbl08.csv,20,derived,data
21,Expanded_Homicide_Data_Table_8_Murder_Victims_by_Weapon_2013-2017.xls_17shrtbl08.csv,21,derived,data
22,Expanded_Homicide_Data_Table_8_Murder_Victims_by_Weapon_2013-2017.xls_17shrtbl08.csv,22,notes,notes
23,Table_40_Arrests_Females_by_Age_2017.xls_17tbl40.csv,0,metadata,metadata
24,Table_40_Arrests_Females_by_Age_2017.xls_17tbl40.csv,1,metadata,metadata
25,Table_40_Arrests_Females_by_Age_2017.xls_17tbl40.csv,2,metadata,metadata
26,Table_40_Arrests_Females_by_Age_2017.xls_17tbl40.csv,3,metadata,metadata
27,Table_40_Arrests_Females_by_Age_2017.xls_17tbl40.csv,4,header,header
28,Table_40_Arrests_Females_by_Age_2017.xls_17tbl40.csv,5,derived,derived
29,Table_40_Arrests_Females_by_Age_2017.xls_17tbl40.csv,6,derived,derived
30,Table_40_Arrests_Females_by_Age_2017.xls_17tbl40.csv,7,data,data
31,Table_40_Arrests_Females_by_Age_2017.xls_17tbl40.csv,8,derived,data
32,Table_40_Arrests_Females_by_Age_2017.xls_17tbl40.csv,9,derived,data
33,Table_40_Arrests_Females_by_Age_2017.xls_17tbl40.csv,10,derived,data
34,Table_40_Arrests_Females_by_Age_2017.xls_17tbl40.csv,11,derived,data
35,Table_40_Arrests_Females_by_Age_2017.xls_17tbl40.csv,12,derived,data
36,Table_40_Arrests_Females_by_Age_2017.xls_17tbl40.csv,13,derived,data
37,Table_40_Arrests_Females_by_Age_2017.xls_17tbl40.csv,14,derived,data
38,Table_40_Arrests_Females_by_Age_2017.xls_17tbl40.csv,15,derived,data
39,Table_40_Arrests_Females_by_Age_2017.xls_17tbl40.csv,16,derived,data
40,Table_40_Arrests_Females_by_Age_2017.xls_17tbl40.csv,17,derived,data
41,Table_40_Arrests_Females_by_Age_2017.xls_17tbl40.csv,18,derived,data
42,Table_40_Arrests_Females_by_Age_2017.xls_17tbl40.csv,19,derived,data
43,Table_40_Arrests_Females_by_Age_2017.xls_17tbl40.csv,20,derived,data
44,Table_40_Arrests_Females_by_Age_2017.xls_17tbl40.csv,21,derived,data
45,Table_40_Arrests_Females_by_Age_2017.xls_17tbl40.csv,22,derived,data
